task_name,chronos_bolt,moirai_2_0,lag_llama,any_leak
ETT_15T,False,True,True,True
ETT_1D,False,True,True,True
ETT_1H,False,True,True,True
ETT_1W,False,True,True,True
LOOP_SEATTLE_1D,False,True,False,True
LOOP_SEATTLE_1H,False,True,False,True
LOOP_SEATTLE_5T,False,True,False,True
M_DENSE_1D,False,True,False,True
M_DENSE_1H,False,True,False,True
SZ_TAXI_15T,False,True,False,True
SZ_TAXI_1H,False,True,False,True
australian_tourism,False,False,False,False
bizitobs_l2c_1H,False,True,False,True
bizitobs_l2c_5T,False,True,False,True
boomlet_1062,False,False,False,False
boomlet_1209,False,False,False,False
boomlet_1225,False,False,False,False
boomlet_1230,False,False,False,False
boomlet_1282,False,False,False,False
boomlet_1487,False,False,False,False
boomlet_1631,False,False,False,False
boomlet_1676,False,False,False,False
boomlet_1855,False,False,False,False
boomlet_1975,False,False,False,False
boomlet_2187,False,False,False,False
boomlet_285,False,False,False,False
boomlet_619,False,False,False,False
boomlet_772,False,False,False,False
boomlet_963,False,False,False,False
ecdc_ili,False,False,False,False
entsoe_15T,False,False,False,False
entsoe_1H,False,False,False,False
entsoe_30T,False,False,False,False
epf_be,False,False,False,False
epf_de,False,False,False,False
epf_fr,False,False,False,False
epf_np,False,False,False,False
epf_pjm,False,False,False,False
ercot_1D,False,False,False,False
ercot_1H,False,False,False,False
ercot_1M,False,False,False,False
ercot_1W,False,False,False,False
favorita_stores_1D,False,False,False,False
favorita_stores_1M,False,False,False,False
favorita_stores_1W,False,False,False,False
favorita_transactions_1D,False,True,False,True
favorita_transactions_1M,False,False,False,False
favorita_transactions_1W,False,False,False,False
fred_md_2025/cee,False,True,False,True
fred_md_2025/macro,False,True,False,True
fred_qd_2025/cee,False,False,False,False
fred_qd_2025/macro,False,False,False,False
gvar,False,False,False,False
hermes,False,False,False,False
hierarchical_sales_1D,False,True,False,True
hierarchical_sales_1W,False,True,False,True
hospital,False,True,False,True
hospital_admissions_1D,False,False,False,False
hospital_admissions_1W,False,False,False,False
jena_weather_10T,False,True,False,True
jena_weather_1D,False,True,False,True
jena_weather_1H,False,True,False,True
kdd_cup_2022_10T,False,True,False,True
kdd_cup_2022_1D,False,False,False,False
kdd_cup_2022_30T,False,False,False,False
m5_1D,False,True,False,True
m5_1M,False,False,False,False
m5_1W,False,False,False,False
proenfo_gfc12,False,True,False,True
proenfo_gfc14,False,True,False,True
proenfo_gfc17,False,True,False,True
redset_15T,False,False,False,False
redset_1H,False,False,False,False
redset_5T,False,False,False,False
restaurant,False,True,False,True
rohlik_orders_1D,False,False,False,False
rohlik_orders_1W,False,False,False,False
rohlik_sales_1D,False,False,False,False
rohlik_sales_1W,False,False,False,False
rossmann_1D,False,False,False,False
rossmann_1W,False,False,False,False
solar_1D,False,False,True,True
solar_1W,False,False,True,True
solar_with_weather_15T,False,False,True,True
solar_with_weather_1H,False,False,True,True
uci_air_quality_1D,False,False,False,False
uci_air_quality_1H,False,False,False,False
uk_covid_nation_1D/cumulative,False,False,False,False
uk_covid_nation_1D/new,False,False,False,False
uk_covid_nation_1W/cumulative,False,False,False,False
uk_covid_nation_1W/new,False,False,False,False
uk_covid_utla_1D/new,False,False,False,False
uk_covid_utla_1W/cumulative,False,False,False,False
us_consumption_1M,False,False,False,False
us_consumption_1Q,False,False,False,False
us_consumption_1Y,False,False,False,False
walmart,False,False,False,False
world_co2_emissions,False,False,False,False
world_life_expectancy,False,False,False,False
world_tourism,False,False,False,False
