model_family,domain,R-S Ratio,condition,short_CRPS,short_MASE,medium_CRPS,medium_MASE,long_CRPS,long_MASE
chronos,Econ/Fin,Real Ref,real_reference,0.89 ± 0.01,1.02 ± 0.01,--,--,--,--
chronos,Econ/Fin,75-25,mixed_real_7525,0.88 ± 0.03,0.88 ± 0.01,--,--,--,--
chronos,Econ/Fin,50-50,mixed_real_5050,0.91 ± 0.03,★ 0.87 ± 0.01,--,--,--,--
chronos,Econ/Fin,25-75,mixed_real_2575,★ 0.87 ± 0.03,0.89 ± 0.02,--,--,--,--
chronos,Econ/Fin,Mixed,mixed_all11,0.97 ± 0.02,0.98 ± 0.02,--,--,--,--
chronos,Energy,Real Ref,real_reference,0.91 ± 0.01,1.14 ± 0.01,1.22 ± 0.03,★ 1.46 ± 0.02,★ 1.12 ± 0.03,★ 1.44 ± 0.03
chronos,Energy,75-25,mixed_real_7525,0.84 ± 0.01,1.04 ± 0.02,1.28 ± 0.01,1.57 ± 0.03,1.25 ± 0.05,1.64 ± 0.06
chronos,Energy,50-50,mixed_real_5050,★ 0.81 ± 0.01,★ 0.99 ± 0.01,★ 1.21 ± 0.01,1.49 ± 0.02,1.23 ± 0.06,1.58 ± 0.08
chronos,Energy,25-75,mixed_real_2575,0.84 ± 0.01,1.05 ± 0.01,1.23 ± 0.02,1.53 ± 0.02,1.21 ± 0.02,1.60 ± 0.02
chronos,Energy,Mixed,mixed_all11,0.92 ± 0.02,1.13 ± 0.02,1.62 ± 0.01,1.92 ± 0.02,1.53 ± 0.06,1.94 ± 0.07
chronos,Healthcare,Real Ref,real_reference,0.85 ± 0.03,0.89 ± 0.03,--,--,--,--
chronos,Healthcare,75-25,mixed_real_7525,0.65 ± 0.04,0.73 ± 0.03,--,--,--,--
chronos,Healthcare,50-50,mixed_real_5050,★ 0.61 ± 0.01,★ 0.69 ± 0.02,--,--,--,--
chronos,Healthcare,25-75,mixed_real_2575,0.63 ± 0.03,0.71 ± 0.04,--,--,--,--
chronos,Healthcare,Mixed,mixed_all11,0.67 ± 0.03,0.77 ± 0.05,--,--,--,--
chronos,Nature,Real Ref,real_reference,0.57 ± 0.00,0.82 ± 0.00,0.45 ± 0.03,1.19 ± 0.06,★ 0.37 ± 0.04,★ 1.03 ± 0.06
chronos,Nature,75-25,mixed_real_7525,0.56 ± 0.01,0.81 ± 0.01,0.48 ± 0.03,1.10 ± 0.03,0.39 ± 0.03,1.09 ± 0.05
chronos,Nature,50-50,mixed_real_5050,★ 0.54 ± 0.01,★ 0.79 ± 0.02,★ 0.43 ± 0.03,★ 1.07 ± 0.04,0.38 ± 0.03,1.06 ± 0.03
chronos,Nature,25-75,mixed_real_2575,0.55 ± 0.00,0.81 ± 0.00,0.47 ± 0.03,1.10 ± 0.03,0.40 ± 0.01,1.04 ± 0.03
chronos,Nature,Mixed,mixed_all11,0.59 ± 0.00,0.84 ± 0.01,0.54 ± 0.06,1.36 ± 0.11,0.48 ± 0.02,1.38 ± 0.10
chronos,Sales,Real Ref,real_reference,★ 0.46 ± 0.00,0.74 ± 0.00,--,--,--,--
chronos,Sales,75-25,mixed_real_7525,0.47 ± 0.00,0.74 ± 0.01,--,--,--,--
chronos,Sales,50-50,mixed_real_5050,0.47 ± 0.00,★ 0.74 ± 0.01,--,--,--,--
chronos,Sales,25-75,mixed_real_2575,0.47 ± 0.01,0.75 ± 0.01,--,--,--,--
chronos,Sales,Mixed,mixed_all11,0.49 ± 0.00,0.75 ± 0.01,--,--,--,--
chronos,Transport,Real Ref,real_reference,★ 0.64 ± 0.00,★ 0.75 ± 0.01,★ 0.66 ± 0.01,★ 0.81 ± 0.02,★ 0.61 ± 0.01,★ 0.80 ± 0.01
chronos,Transport,75-25,mixed_real_7525,0.69 ± 0.01,0.79 ± 0.01,0.91 ± 0.01,1.08 ± 0.00,0.77 ± 0.01,1.00 ± 0.00
chronos,Transport,50-50,mixed_real_5050,0.67 ± 0.01,0.78 ± 0.00,0.88 ± 0.02,1.05 ± 0.02,0.78 ± 0.03,1.00 ± 0.03
chronos,Transport,25-75,mixed_real_2575,0.67 ± 0.01,0.78 ± 0.01,0.89 ± 0.03,1.06 ± 0.03,0.76 ± 0.03,0.98 ± 0.03
chronos,Transport,Mixed,mixed_all11,0.74 ± 0.00,0.85 ± 0.01,1.12 ± 0.05,1.31 ± 0.03,0.95 ± 0.03,1.21 ± 0.02
chronos,Web/CloudOps,Real Ref,real_reference,★ 0.58 ± 0.00,0.93 ± 0.00,1.05 ± 0.09,1.40 ± 0.09,1.13 ± 0.04,1.41 ± 0.06
chronos,Web/CloudOps,75-25,mixed_real_7525,0.61 ± 0.01,0.91 ± 0.02,1.03 ± 0.08,1.35 ± 0.08,1.14 ± 0.08,1.37 ± 0.05
chronos,Web/CloudOps,50-50,mixed_real_5050,0.60 ± 0.03,★ 0.89 ± 0.01,★ 0.96 ± 0.07,★ 1.27 ± 0.04,★ 1.12 ± 0.03,★ 1.34 ± 0.02
chronos,Web/CloudOps,25-75,mixed_real_2575,0.61 ± 0.02,0.90 ± 0.03,1.02 ± 0.13,1.32 ± 0.07,1.12 ± 0.00,1.36 ± 0.03
chronos,Web/CloudOps,Mixed,mixed_all11,0.65 ± 0.02,0.93 ± 0.03,1.09 ± 0.13,1.41 ± 0.10,1.25 ± 0.12,1.47 ± 0.06
