model_family,condition_a,label_a,condition_b,label_b,metric,n_pairs,rel_delta,ci_low,ci_high,p_a_better,win_rate
moirai,mixed_real_7525,75-25,mixed_real_5050,50-50,norm_crps,291,-0.03578778990046716,-0.05324180794625874,-0.01806440760792532,1.0,0.5945017182130584
moirai,mixed_real_7525,75-25,mixed_real_5050,50-50,norm_mase,291,-0.027935481741320323,-0.04362978822862067,-0.011298414994811667,0.9993,0.6426116838487973
moirai,mixed_real_7525,75-25,mixed_all11,Mixed,norm_crps,291,-0.0655398874751486,-0.08369543145609148,-0.047042609672206304,1.0,0.711340206185567
moirai,mixed_real_7525,75-25,mixed_all11,Mixed,norm_mase,291,-0.07013697139788366,-0.08864310028573728,-0.05163236267634035,1.0,0.7216494845360825
moirai,mixed_real_7525,75-25,real_reference,Real Ref,norm_crps,291,-0.17492114918921475,-0.19958401068297252,-0.150245066767295,1.0,0.8797250859106529
moirai,mixed_real_7525,75-25,real_reference,Real Ref,norm_mase,291,-0.16023392603997588,-0.18272316456834137,-0.13769504062112176,1.0,0.8797250859106529
chronos,mixed_real_5050,50-50,mixed_real_2575,25-75,norm_crps,291,-0.014876381989799459,-0.028701775667469166,-0.0012402974532900563,0.983,0.570446735395189
chronos,mixed_real_5050,50-50,mixed_real_2575,25-75,norm_mase,291,-0.019050103861752654,-0.029202844808656026,-0.009324716023164698,1.0,0.5910652920962199
chronos,mixed_real_5050,50-50,mixed_all11,Mixed,norm_crps,291,-0.13223146054131463,-0.15659409756789003,-0.10827121760844215,1.0,0.8006872852233677
chronos,mixed_real_5050,50-50,mixed_all11,Mixed,norm_mase,291,-0.1248348234108263,-0.1467783761771393,-0.1034576150378247,1.0,0.8109965635738832
chronos,mixed_real_5050,50-50,real_reference,Real Ref,norm_crps,291,-0.00990659625700896,-0.03574126138875063,0.017370705947300683,0.7677,0.5085910652920962
chronos,mixed_real_5050,50-50,real_reference,Real Ref,norm_mase,291,-0.030825795279481927,-0.053374715977850005,-0.007614805921828125,0.9943,0.6116838487972509
