model_family,condition,label,n_seeds,norm_crps_mean,norm_crps_std,norm_mase_mean,norm_mase_std,rank_crps,rank_mase,rank_mean
chronos,mixed_real_5050,50-50,3,0.7715330649285502,0.016223694656782993,1.0192665071343725,0.013710794193223115,1.0,1.0,1.0
chronos,mixed_real_2575,25-75,3,0.7831052576528966,0.009357395339965888,1.039040211509512,0.011487710014417328,3.0,2.0,2.5
chronos,real_reference,Real Ref,3,0.7791843572382199,0.010485377045137625,1.051644471277702,0.008436918227300071,2.0,4.0,3.0
chronos,mixed_real_7525,75-25,3,0.794116875947664,0.011496940120022848,1.0515675629402612,0.008858268982505498,4.0,3.0,3.5
chronos,mixed_all11,Mixed,3,0.8890566603208977,0.015373207487403779,1.164595082761245,0.005722385120685373,5.0,5.0,5.0
moirai,mixed_real_7525,75-25,3,0.6848275111523007,0.015084878123942559,0.9841361735325012,0.023206499278898826,1.0,1.0,1.0
moirai,mixed_real_5050,50-50,3,0.7102377986289311,0.015023532061753369,1.0124071144104478,0.02294279084920318,2.0,2.0,2.0
moirai,mixed_all11,Mixed,3,0.73282459072057,0.013535301188853694,1.0583293636958295,0.02226022731876243,3.0,3.0,3.0
moirai,mixed_real_2575,25-75,3,0.7752303701010486,0.011847270634184464,1.0996577287452214,0.021121347319009505,4.0,4.0,4.0
moirai,real_reference,Real Ref,3,0.8299579361423476,0.013806529145704682,1.1718323219478741,0.021423810669143714,5.0,5.0,5.0
