model_family,condition_a,label_a,condition_b,label_b,metric,n_pairs,rel_delta,ci_low,ci_high,p_a_better,win_rate
moirai,kernelsynth,kernelsynth,ets,ets,norm_crps,97,-0.10550431137185334,-0.14945212230161495,-0.06263752900677153,1.0,0.6185567010309279
moirai,kernelsynth,kernelsynth,ets,ets,norm_mase,97,-0.09073753925781203,-0.13310240761437536,-0.048617740359354934,1.0,0.6185567010309279
moirai,kernelsynth,kernelsynth,mixed_all11,Mixed,norm_crps,97,-0.0017245450065487278,-0.03698438084292901,0.03335100604892775,0.5354,0.4845360824742268
moirai,kernelsynth,kernelsynth,mixed_all11,Mixed,norm_mase,97,-0.018824341240835873,-0.0546192821843504,0.014304777364023316,0.8536,0.4742268041237113
moirai,kernelsynth,kernelsynth,real_reference,Real Ref,norm_crps,97,-0.0988545339989102,-0.1536829711798835,-0.042187306805990685,0.9998,0.6185567010309279
moirai,kernelsynth,kernelsynth,real_reference,Real Ref,norm_mase,97,-0.08702273992398701,-0.13626634258670434,-0.03674613136833482,0.9998,0.6185567010309279
chronos,kernelsynth,kernelsynth,sde,sde,norm_crps,97,-0.04540179963522617,-0.10783645683741903,0.020601089349689333,0.9146,0.5876288659793815
chronos,kernelsynth,kernelsynth,sde,sde,norm_mase,97,0.006205076486831329,-0.0674736651189431,0.07983626961612149,0.4226,0.4845360824742268
chronos,kernelsynth,kernelsynth,mixed_all11,Mixed,norm_crps,97,0.03257385958570813,-0.0118533120327644,0.08156841515329179,0.0819,0.422680412371134
chronos,kernelsynth,kernelsynth,mixed_all11,Mixed,norm_mase,97,0.10163374713615836,0.05476953428243754,0.15156537532194944,0.0,0.3402061855670103
chronos,kernelsynth,kernelsynth,real_reference,Real Ref,norm_crps,97,0.18316933035883842,0.10825127532817941,0.2683079770903861,0.0,0.31958762886597936
chronos,kernelsynth,kernelsynth,real_reference,Real Ref,norm_mase,97,0.2159684573569398,0.13943464118542026,0.30177693448734816,0.0,0.28865979381443296
