dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
hospital/M/short,arima,5199.377661886137,5199.377661886137,23.097975404715346,0.8736345582895929,0.2137058064088983,0.1928963725435272,8.489429618879868,72.1067102417392,0.2617641023773476,0.0838510143962924,0.0688267352761081,Healthcare,1
bizitobs_l2c/H/medium,arima,537.4993303571429,537.4993303571429,15.812576729910715,1.4746401292643272,1.187491658286154,1.5159739800476475,30.263304752844263,23.184031796845492,1.4038283398210865,0.957475538920908,0.8558346395041759,Web/CloudOps,7
saugeen/W/short,arima,1421.62841796875,1421.62841796875,22.262118530273437,1.8045153860395289,0.8726942062377929,0.5756662845611572,37.04321256557123,37.70448803483148,1.138141323568161,0.6720005593517121,0.5980362849439496,Nature,1
saugeen/D/short,arima,1029.7575,1029.7575,16.394222005208334,3.6393357936216253,0.5816016133626302,0.5245989990234375,49.02038624934758,32.089834839088844,1.0393973963360117,0.5310127569248632,0.43502440797018554,Nature,1
jena_weather/H/medium,arima,5395.2313492063495,5395.2313492063495,29.143812003968254,2.008465041702762,11.662653580269275,0.7629393562437996,43.07149670949019,73.45223855817024,0.4494672747192568,0.1783361543975289,0.15825953880672716,Nature,21
jena_weather/H/long,arima,34768.421164021165,34768.421164021165,68.687925760582,5.005407601922236,16.278400735294117,0.8219343558821098,149.39286542945956,186.46292168691653,1.122713375612971,0.41357741419498095,0.38680682965969926,Nature,21
ett1/H/medium,arima,451.28597470238094,451.28597470238094,13.675132533482143,2.3278509651743877,1302362223676.7283,0.8830884660993303,38.21942327612805,21.243492526003838,1.0175129344741685,0.6550064315664623,0.57144007517219,Energy,7
us_births/W/short,arima,5929666.857142857,5929666.857142857,1828.537388392857,1.662120652845354,0.024653000491006032,0.024729549884796143,13.095359699799,2435.09072872919,0.033056117871075916,0.02482221575124962,0.019525212975212466,Healthcare,1
m_dense/D/short,arima,27895.176296296297,27895.176296296297,105.00287037037037,1.4590199814574796,0.2237019012202326,0.21434077510127314,11.356066548341623,167.01849088138803,0.2891337129867336,0.18177550057023692,0.14136517351053174,Transport,1
sz_taxi/15T/medium,arima,22.12017394497863,22.12017394497863,3.306511668669872,0.6583914941829389,12013522770973.758,0.4827660715478098,10.285512677704235,4.703208898717835,0.43771209165352887,0.30772610142085016,0.26554361748924105,Transport,1
bizitobs_l2c/H/short,arima,259.8421688988095,259.8421688988095,10.748179602244544,1.052451369838276,1.040788316612335,1.0268600751768868,10.426682956680605,16.119620618947877,0.86888883442318,0.5793544071246767,0.46391576852706184,Web/CloudOps,7
m_dense/H/long,arima,314638.75950617285,314638.75950617285,328.35024691358024,2.556270684508414,1.4487585722468188,0.662175323109568,39.660830312904935,560.926697088107,0.9710470327033415,0.5684228164001252,0.4915899419001297,Transport,1
kdd_cup_2018/D/short,arima,2755.996808298424,2755.996808298424,20.84827781102467,1.1904972420532358,0.5933251930397633,0.45797959809703104,23.232703575362777,52.49758859508143,1.1760016919309366,0.4670235459521335,0.42076607919246367,Nature,1
ett2/H/short,arima,253.09724702380953,253.09724702380953,10.060901460193453,1.1887688620140637,0.1865703624271035,0.16932709103538876,10.629818830441625,15.90903036089282,0.20177077031544718,0.12760022400115126,0.11030600840832644,Energy,7
solar/H/medium,arima,2530.547201946472,2530.547201946472,35.70720422749392,2.7368912749179417,8.026940646232967,1.6186827522621854,45.735185184892984,50.3045445456618,1.8120871059163135,1.286256837296865,1.1032790984292362,Energy,1
saugeen/M/short,arima,809.4339657738095,809.4339657738095,19.9124508812314,1.1660397229605313,0.8550089881533668,0.5857691991896856,22.880369957475928,28.45055299592276,0.8541709517971939,0.5978315122477162,0.5349585643821713,Nature,1
us_births/D/short,arima,2274095.7866666666,2274095.7866666666,1283.8709375,1.8911164027621536,0.12181940714518229,0.12439896901448567,12.506440198579908,1508.0105393088825,0.14136375126048925,0.12035248237886909,0.09238313674663129,Healthcare,1
jena_weather/H/short,arima,2142.5505430242274,2142.5505430242274,17.14538788377193,0.8262040559949944,8.228577218972534,0.6627817689837059,10.036233838436818,46.28769321346903,0.2837405795446874,0.10510012396220066,0.09223176328478219,Nature,21
ett2/15T/long,arima,471.340753968254,471.340753968254,8.51162822420635,3.195576334919294,0.41048748494780224,0.4439892578125,82.76214306974157,21.710383551845737,1.1569856381220693,0.4536000752323867,0.42136770730008966,Energy,7
bizitobs_l2c/5T/long,arima,363.30305555555555,363.30305555555555,13.955510912698413,1.332731801591407,1.0859199078209127,1.2752418457496428,44.7596313295412,19.060510369755463,1.070219161747578,0.7835810742217229,0.758460269318951,Web/CloudOps,7
hierarchical_sales/D/short,arima,44.42562525837123,44.42562525837123,3.12691517672592,1.0479929208808219,1.0599605319601453,1.0073395191711452,25.472109672587536,6.665255078267539,2.0448264447652065,0.9593029477228627,0.8778565052173882,Sales,1
ett2/15T/medium,arima,203.8152976190476,203.8152976190476,4.937055741567461,2.0329470188713112,0.27705203494377156,0.3303855545248914,35.445303952193136,14.2763895162274,0.7608146394588831,0.2631046371871229,0.23127162125813122,Energy,7
electricity/W/short,arima,324481114864.7784,324481114864.7784,57694.158558558556,2.165196351654103,0.26956894341687826,0.1287123929272901,18.01487833880642,569632.4383888073,1.2997132450827835,0.1316390306959355,0.0992039417818105,Energy,1
bizitobs_service/10S/short,arima,27791.11111111111,27791.11111111111,58.61190476190476,3.004795751792807,0.9576298983134921,0.16329468419312168,30.5954570730999,166.70666186781833,0.12350162458970125,0.04342157282311621,0.03710035026465194,Web/CloudOps,2
ett2/W/short,arima,3925907.1428571427,3925907.1428571427,1284.715541294643,0.7992548500869481,0.1322754451206752,0.1449537447520665,5.910656618739217,1981.390204593013,0.16620826160214286,0.10776793802495793,0.08835812945254368,Energy,7
sz_taxi/15T/short,arima,19.380933899000304,19.380933899000304,3.019295903207036,0.609019477286125,699846959634.3763,0.4227641761230171,8.72103181109482,4.40237820944547,0.41164119077490724,0.2823170799435918,0.2418890799333725,Transport,1
us_births/M/short,arima,352486762.6666667,352486762.6666667,14917.46875,1.6903587404814304,0.04567211866378784,0.04655421773592631,14.151191263994576,18774.6308263749,0.05831387534290458,0.04633355623148294,0.038308204635211666,Healthcare,1
bizitobs_l2c/5T/medium,arima,179.10531462585033,179.10531462585033,9.140520700467688,0.8628041666017022,0.6679253793855726,0.9731433264379308,25.17497717552923,13.383023373881192,0.7041438353479286,0.48092580602270046,0.45399022322904475,Web/CloudOps,7
m4_hourly/H/short,arima,88634689.54589371,88634689.54589371,1543.0694444444443,16.105548024366083,0.7984328216208736,0.38260310321998287,204.62426461952086,9414.599808058423,1.285300679599465,0.21066303890219545,0.21620771880641118,Econ/Fin,1
ett1/H/long,arima,444.41190476190474,444.41190476190474,13.746820229828042,2.3949301081256946,3047758677245.6465,0.8951405681630291,49.93979489740738,21.081079307329233,1.0095272295801379,0.6583054472609295,0.5920641401435369,Energy,7
loop_seattle/H/long,arima,391.4002751977984,391.4002751977984,15.655811403508771,3.357753758149974,0.3705996570777434,0.3441540959859821,50.74252900041622,19.783838737661565,0.3535636850361406,0.27979030993201803,0.2393780147844199,Transport,1
kdd_cup_2018/H/long,arima,4961.047849497015,4961.047849497015,29.23718222883625,1.2227298183448039,0.9432318372937971,0.7960997965502897,28.33858662669675,70.4347062853038,1.6526828286626316,0.6860224394541109,0.6274242753854491,Nature,1
bizitobs_service/10S/medium,arima,459491.8806349206,459491.8806349206,268.8153571428571,11.893821120799762,3.5800384424603173,0.3693377201140873,324.69776385741477,677.8583042457477,0.5101721335806729,0.20231677244910337,0.18838425841067047,Web/CloudOps,2
jena_weather/10T/medium,arima,14396.622222222222,14396.622222222222,45.58822601010101,2.1498081750494564,3.1938305747433287,0.8098128060851763,55.4307801015267,119.98592510049761,0.7363515711430725,0.2797741636783375,0.25564205546106183,Nature,21
loop_seattle/D/short,arima,44.708817079463365,44.708817079463365,5.3061576851135195,1.5732909402953041,0.09979796040537926,0.09566526304703625,11.461395593858974,6.686465215602588,0.11949607612413125,0.09482813448089206,0.07351959587725815,Transport,1
jena_weather/D/short,arima,527.6641865079365,527.6641865079365,12.476702783978174,1.6077666648199966,1.699795227567153,0.4739939856150794,17.028620971384886,22.97094222072609,0.13832261643296506,0.07513014298469509,0.06215083460076429,Nature,21
jena_weather/10T/long,arima,49599.25502645503,49599.25502645503,59.16032986111111,3.026993045732662,4.146785384552605,0.8473785771574569,85.03661490230687,222.70890199193886,1.362793959510922,0.3620122027287174,0.33876352598239234,Nature,21
