dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
saugeen/M/short,chaotic,2809.0254836309523,2809.0254836309523,46.26702880859375,2.7085660573806942,2.707485017322359,1.0386197226388114,39.73729799320159,53.0002404110675,1.5912262163722948,1.3890750046204132,1.1660764604215785,Nature,1
ett1/D/short,chaotic,218087.41587301588,218087.41587301588,304.94623015873015,3.432854376535937,2.7225345672123016,0.693468269469246,52.43374327356594,466.99830392948525,1.2265865357627925,0.8009513886817006,0.6614512322086186,Energy,7
bizitobs_application/10S/medium,chaotic,52407582.72,52407582.72,4056.7566666666667,15.484742837193851,0.2200231679280599,0.2212073008219401,498.22086332462027,7239.308165840159,0.2842663251155299,0.15929689455172205,0.14749102428724803,Web/CloudOps,2
jena_weather/D/short,chaotic,20003.657142857144,20003.657142857144,64.19922495039683,4.325460069026602,4.856835276543993,0.8584977407304067,79.40711446868744,141.43428559885027,0.851665562926213,0.38658426296919596,0.36579315017687863,Nature,21
us_births/D/short,chaotic,5512016.213333333,5512016.213333333,1795.60375,2.640886887898704,0.16845569610595704,0.18383529663085937,30.344197890180865,2347.7683474596324,0.22008423153304846,0.16832328107848166,0.14211541943900427,Healthcare,1
ett1/H/medium,chaotic,800.4972470238096,800.4972470238096,17.621470424107144,3.17537842939798,10215401542223.586,0.9356000627790179,75.11047347607376,28.293060050546135,1.3551705079588692,0.8440266617664256,0.7584481880924244,Energy,7
m_dense/D/short,chaotic,73873.33925925926,73873.33925925926,160.15256944444445,2.516355369663748,0.36552905400122776,0.3959563078703704,27.589946113983093,271.79650339777965,0.47051995135089975,0.2772477873765655,0.21594217368403829,Transport,1
saugeen/D/short,chaotic,6725.035416666667,6725.035416666667,69.09791015625,15.326565006982586,4.422442220052083,1.173943074544271,427.8551081176384,82.00631327322712,2.656204026188369,2.238097773603411,2.0984759340523924,Nature,1
jena_weather/H/long,chaotic,12332.442328042329,12332.442328042329,42.50977595899471,2.1180417263255817,22.35869510475423,0.9711869011252026,58.482300331250414,111.0515300571871,0.6686532477852841,0.25595594894522594,0.23647867333881686,Nature,21
us_births/M/short,chaotic,7408963584.0,7408963584.0,72824.08333333333,8.272499347115124,0.22234382232030234,0.2622288465499878,60.77170883532404,86075.33667665785,0.26734940886346775,0.2261911063250057,0.18501598977153305,Healthcare,1
