dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
covid_deaths/D/short,ets,1311374.4360902256,1311374.4360902256,216.2547775689223,50.91436365373956,0.1527766920040476,0.4383272021104252,1573.294922544546,1145.1525820126442,0.4308692319356125,0.0813669124770828,0.0745789958823217,Healthcare,1
bizitobs_l2c/H/medium,ets,30029.27619047619,30029.27619047619,70.81034226190476,5.072185870823547,6.30120415549265,1.8315646216982886,182.8274705180628,173.28957323069437,10.492946870865246,4.2876737786918575,4.204818433243741,Web/CloudOps,7
ett2/D/short,ets,197867.04761904763,197867.04761904763,277.7807291666667,1.9412961272489495,0.4911739288814484,0.18903329031808036,15.663671742617433,444.82249001039463,0.25458364727847327,0.15898124029940847,0.12995797949843219,Energy,7
bizitobs_l2c/H/short,ets,627.4395461309524,627.4395461309524,14.286351764012897,1.5476023565360497,2.080003184952038,1.1317101130409846,36.693941113896685,25.04874340422993,1.3501914204285554,0.7700709480595032,0.6889366848679532,Web/CloudOps,7
ett2/H/medium,ets,6078.096428571429,6078.096428571429,38.71199776785714,4.3912050204613475,0.6404055246751296,0.5539046514601934,105.14919867705234,77.96214740867153,1.0505900719127546,0.5216690646760682,0.47315698395867944,Energy,7
ett1/H/medium,ets,939.292113095238,939.292113095238,20.192168898809523,4.108672343814198,1668651521685.154,0.8624980381556919,107.07571084495304,30.647872896748282,1.4679604612277888,0.967157024885429,0.8991623758362528,Energy,7
bizitobs_application/10S/medium,ets,862811204.2666667,862811204.2666667,13331.331666666667,25.767431277865057,0.37481114705403645,0.3148653157552083,865.0358313106128,29373.648126623066,1.1534167101204975,0.5234821580965007,0.5085127566396124,Web/CloudOps,2
solar/W/short,ets,1548147.7372262774,1548147.7372262774,1002.7631158759124,1.1013503707254007,0.22775183628945456,0.1977403181312728,6.209321014410776,1244.2458507972922,0.2539816858292424,0.204689022265456,0.15934616042752633,Energy,1
sz_taxi/15T/medium,ets,1827.3326923076922,1827.3326923076922,10.063998230502136,2.0094922886479964,10257362954138.475,0.6900318113147703,54.838742437863196,42.747312106232975,3.9783509083949795,0.9366230186099981,0.8764686628107896,Transport,1
bizitobs_application/10S/long,ets,20517246.293333333,20517246.293333333,1976.5201388888888,6.963151022841498,0.09341669718424479,0.09532079060872396,211.4247528530242,4529.596703166115,0.17468843952565802,0.0762264813801624,0.07073295665328322,Web/CloudOps,2
solar/D/short,ets,157266.00097323602,157266.00097323602,289.1825729927007,1.126377318639223,1.043730041058394,0.5152509480497263,17.65982709527273,396.5677760146883,0.5729053636215147,0.4177703211247605,0.3571083588100728,Energy,1
sz_taxi/H/short,ets,8.60691898704594,8.60691898704594,2.059589092548077,0.6276384557992394,1.1173746483957665,0.33400853474934894,6.906744753986241,2.933755100046004,0.2732973914427904,0.19186343346402254,0.15863079965667495,Transport,1
