dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
ett1/D/short,garch,50484.86984126984,50484.86984126984,144.05243055555556,1.7450325841496348,1.107986304873512,0.4892210945250496,24.717605042756357,224.68838385922368,0.5901514931960868,0.37835848712210524,0.3242806597596649,Energy,7
bizitobs_application/10S/long,garch,989295119.9288889,989295119.9288889,18675.417777777777,27.862785706187857,0.41847947862413193,0.3045292833116319,835.2856532204146,31453.062170937967,1.2130188864505536,0.720236215910653,0.6870873547546661,Web/CloudOps,2
saugeen/W/short,garch,1596.62802734375,1596.62802734375,19.004693603515626,1.541401935744624,0.4795022964477539,0.5045284271240235,41.64081553733047,39.95782811094404,1.206160267474964,0.5736724793061976,0.5305706805129521,Nature,1
jena_weather/D/short,garch,551.8477678571429,551.8477678571429,12.198487103174603,1.6146973746178186,0.7911148716753913,0.540428960890997,16.636118425112336,23.49144031040121,0.1414568656474906,0.07345482986381205,0.06432825201295683,Nature,21
saugeen/D/short,garch,1094.9580208333334,1094.9580208333334,16.105699869791668,3.5762783616596305,0.47987879435221353,0.43007466634114583,73.97925305819473,33.09014990648023,1.0717978397093066,0.52166745621387,0.4705204131444558,Nature,1
jena_weather/H/long,garch,5824.802116402117,5824.802116402117,26.940527860449734,2.6735829610887087,3.475774010374698,0.8648252893633592,61.34317651979597,76.3203912228057,0.45953331248199053,0.16221182582232974,0.158214443137163,Nature,21
ett2/H/medium,garch,373.79453125,373.79453125,12.513363792782737,1.4036601503078965,0.2422962290442143,0.22372040521530878,19.061007192794253,19.33376660793235,0.26053493812194334,0.1686256241508791,0.14201813364960714,Energy,7
bizitobs_l2c/H/long,garch,369.8831349206349,369.8831349206349,14.81245814732143,1.5427907824704306,2.8174142981344255,0.9197130960131449,42.91572241713428,19.23234605867508,1.174767205232842,0.9047876950252841,0.8445537694521229,Web/CloudOps,7
jena_weather/H/medium,garch,3025.1452380952383,3025.1452380952383,18.88520275297619,1.519252693561517,2.5859117932288838,0.8135558010173624,25.235236203627167,55.00132033047242,0.33656283375652807,0.11556190499461157,0.11147323254509137,Nature,21
m_dense/D/short,garch,26297.345185185186,26297.345185185186,97.07509837962964,1.3519444862909642,0.2149806832100746,0.2021813060619213,11.64587296346667,162.16456205097705,0.28073084419116556,0.16805135458317405,0.13346053066960548,Transport,1
ett2/D/short,garch,143491.70793650794,143491.70793650794,241.92120535714287,1.925454785395672,0.5714781261625744,0.2758391849578373,18.232313144992013,378.80299356856716,0.21679894759915652,0.13845788870159584,0.11711727886940129,Energy,7
bizitobs_l2c/5T/medium,garch,294.4116071428571,294.4116071428571,11.449447278911565,1.1208275623564807,0.9170277723654623,1.0502464717098545,36.93478685168788,17.15842670942931,0.9027855705081989,0.6024092982846392,0.5791219478206153,Web/CloudOps,7
bizitobs_service/10S/long,garch,2698430.7132275132,2698430.7132275132,558.2756084656085,13.740073309954026,0.4504709718088624,0.3571975756448413,410.101119436772,1642.690084351736,1.2169573299697658,0.4135884183739185,0.39880413269837045,Web/CloudOps,2
solar/D/short,garch,198043.23503649636,198043.23503649636,302.11453771289536,1.175159752688335,1.3438798519236619,0.4649395945008364,23.542580674707704,445.02048833339836,0.642903029716228,0.4364526054616737,0.3879826221957459,Energy,1
bizitobs_l2c/5T/long,garch,530.1490476190476,530.1490476190476,15.120755208333334,1.4010614392054075,1.1239874177590197,1.2612182728676091,47.51915389704831,23.024965746316486,1.2928174042700447,0.8490077993782723,0.8223397205459144,Web/CloudOps,7
ett2/H/long,garch,1889.6093915343915,1889.6093915343915,22.166501322751323,2.287152669076888,0.32993617328994856,0.30864374069940476,47.73603508340864,43.46963758227565,0.5952832299852996,0.3035531750156828,0.2713517236945138,Energy,7
sz_taxi/H/short,garch,10.268961588541666,10.268961588541666,2.253700451973157,0.6990601188536917,0.8576911861061031,0.3466105664897169,8.281623768830878,3.204522053059031,0.29852100398843623,0.20994610443388517,0.1775204486022888,Transport,1
hierarchical_sales/W/short,garch,458.4637844279661,458.4637844279661,10.007183527542374,0.8243439724668463,0.7102335623045282,0.5059924691410388,16.565570403911643,21.411767428868785,0.9830247159338157,0.45943469062701375,0.4106563144768241,Sales,1
m_dense/H/long,garch,691373.3846913581,691373.3846913581,473.6881481481482,3.8430093816761204,2.0228417481965386,1.0356123408564815,92.49582703213198,831.4886557803168,1.4394297795298963,0.8200242082857223,0.7424693281213235,Transport,1
m4_hourly/H/short,garch,52670246.33816425,52670246.33816425,1234.0250603864733,12.139871990726512,0.5186689932757146,0.44452228638285024,97.0974305061275,7257.426977804478,0.9907989736038818,0.1684716590289785,0.14052706977392215,Econ/Fin,1
bizitobs_service/10S/medium,garch,829434.6361904762,829434.6361904762,357.23813492063493,10.515106762227722,0.37260773189484125,0.28132188585069445,281.20729611250437,910.7330213572341,0.6854391333970404,0.2688658386971202,0.2528438841906,Web/CloudOps,2
ett1/H/short,garch,351.23723958333335,351.23723958333335,10.481330217633928,1.8811563657728383,0.9186343965076265,0.5410105750674293,17.742537510365395,18.741324381786185,0.8747342828317312,0.48920656215496083,0.4044175883816875,Energy,7
ett2/H/short,garch,199.05122767857142,199.05122767857142,9.442091587611607,1.1089162943655404,0.17884758201436504,0.15837257021949405,9.27532216694072,14.108551579753728,0.17893568971241636,0.11975199303815275,0.0985437976076461,Energy,7
loop_seattle/D/short,garch,30.75716589267286,30.75716589267286,4.406819611068111,1.3038181915097173,0.08210802580180922,0.08031388825061274,8.582267611220455,5.545914342349047,0.09911290660494802,0.07875576029031241,0.0610285270665917,Transport,1
solar/W/short,garch,2990172.9635036495,2990172.9635036495,1420.2723540145985,1.572837983261753,0.3290206463667598,0.267310706368328,12.446744421150267,1729.2116595442126,0.3529753321380952,0.28991309601566995,0.23419148711682589,Energy,1
us_births/W/short,garch,5378595.428571428,5378595.428571428,1691.9151785714287,1.5377942472157906,0.022873031241553172,0.022811710834503174,12.604244131398291,2319.1799043134683,0.031482639795201814,0.022967582649336044,0.018872344182548493,Healthcare,1
bizitobs_application/10S/short,garch,7424122.88,7424122.88,1350.1143055555556,4.427960079010915,0.0661487325032552,0.06454608493381077,60.096768690976155,2724.724367711347,0.10508172782807122,0.05206851220416876,0.04410791176351903,Web/CloudOps,2
solar/H/long,garch,4021.253527980535,4021.253527980535,32.68885340632603,2.464947049974606,2.2493826298540993,1.996539073977115,89.20886736549626,63.41335449241378,2.198656567806522,1.1333821213397792,1.1155720011603993,Energy,1
sz_taxi/15T/long,garch,20.150551994301996,20.150551994301996,3.196851629273504,0.6073742859610425,8201322035418.22,0.47974710926371084,16.714537430058133,4.488936621773802,0.4154879774913719,0.29589489219876447,0.2796651904256099,Transport,1
sz_taxi/15T/medium,garch,19.740411324786326,19.740411324786326,3.2038697332398502,0.6331074056261572,12355848183569.941,0.48472571739783654,16.79443643234238,4.443018267437838,0.4134970104400902,0.2981735560808613,0.2796348536888077,Transport,1
restaurant/D/short,garch,197.10012141589615,197.10012141589615,8.88523060264313,0.8306453574533786,0.8599056472984963,0.4599626248453115,17.756837576614707,14.03923507232129,0.6461181266090577,0.40891889920609675,0.3696791579559592,Sales,1
