dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,kernelsynth,419.1316592261905,419.1316592261905,14.045028831845238,1.3248124738120213,1.0352470388855781,1.3219069411863271,27.4198207242407,20.472705224913256,1.2396533976220199,0.850447828941959,0.7514801623317786,Web/CloudOps,7
bizitobs_l2c/H/long,kernelsynth,387.15853174603177,387.15853174603177,14.13541046626984,1.4232955985393807,1.1836701788384036,1.361307101779514,33.90173401281901,19.67634447111637,1.201887909723088,0.8634316685867112,0.7800289186762394,Web/CloudOps,7
bizitobs_application/10S/long,kernelsynth,153321362.77333334,153321362.77333334,7418.829444444445,14.445964088175886,0.2016388617621528,0.2361319308810764,408.330845551322,12382.300382939082,0.4775358323008432,0.28611459776344605,0.2707797722625103,Web/CloudOps,2
us_births/D/short,kernelsynth,400970.6666666667,400970.6666666667,403.24723958333334,0.5935852965771792,0.038326053619384765,0.038139235178629556,4.9785954274143815,633.2224464330577,0.059359466049319264,0.037801156548323785,0.029356335993654798,Healthcare,1
ett2/H/long,kernelsynth,870.8589947089947,870.8589947089947,19.98693783068783,2.2171464534555105,0.32956292187395575,0.37575857979910715,52.236579717475415,29.510320139046183,0.4041211214844458,0.2737057305078266,0.24842189805894468,Energy,7
ett1/H/long,kernelsynth,474.6866402116402,474.6866402116402,14.225095072751323,2.6224690927503866,10018462474983.94,0.9461158389136904,64.9085519456224,21.787304565081936,1.0433468275962001,0.6812089936171329,0.6225041890311855,Energy,7
saugeen/D/short,kernelsynth,1147.2061458333333,1147.2061458333333,15.630520833333334,3.471700009532909,0.4909912109375,0.5285507202148437,55.6325078854393,33.87043173379007,1.0970713540100485,0.5062762940042527,0.44572307763213664,Nature,1
ett2/H/medium,kernelsynth,491.54170386904764,491.54170386904764,15.273975771949404,1.7490667590570919,0.2859030309307632,0.31675654820033483,27.349050998612963,22.17073981330004,0.298764976453472,0.20582664585328192,0.17426245441552216,Energy,7
bizitobs_application/10S/medium,kernelsynth,74860250.45333333,74860250.45333333,4744.481666666667,13.20299162880059,0.1903385289510091,0.1940957514444987,311.1646802297967,8652.181831962002,0.33974571564847195,0.18630183120610597,0.1706907300584002,Web/CloudOps,2
solar/W/short,kernelsynth,3137140.321167883,3137140.321167883,1451.9954379562043,1.6038565497351671,0.3350306879864992,0.2722456994718009,10.525424465021255,1771.1974258020712,0.3615456767272858,0.2963885705643926,0.2361823636924523,Energy,1
ett1/H/medium,kernelsynth,388.76298363095236,388.76298363095236,11.982376534598215,2.059222032337476,2034940899591.029,0.7261451357886904,36.21816945759557,19.717073404310092,0.9444010769088036,0.5739274318838643,0.4991441399291754,Energy,7
bizitobs_l2c/5T/long,kernelsynth,318.69654761904764,318.69654761904764,12.992689732142857,1.228717496033433,0.9522310421174458,1.2196667144210924,41.01127984386034,17.85207404250407,1.002367268587967,0.729520104353779,0.704639442010868,Web/CloudOps,7
bizitobs_l2c/5T/medium,kernelsynth,210.131462585034,210.131462585034,10.143290949192178,0.966030841769028,0.6700396594074206,1.0573305691266532,28.57685717562312,14.49591192664449,0.7626981389581967,0.5336862674807368,0.5050115672338449,Web/CloudOps,7
m_dense/H/long,kernelsynth,412996.51950617286,412996.51950617286,344.40512345679014,2.7768467938909085,1.1732435601721416,0.8323531539351852,65.56399992794564,642.648052596577,1.1125187797015594,0.5962161810387379,0.5412991587566939,Transport,1
sz_taxi/15T/medium,kernelsynth,26.936436631944446,26.936436631944446,3.6693751669337606,0.7238494886323595,11080788027122.434,0.5202897552751068,14.148847434122565,5.190032430721839,0.4830191471231939,0.34149660667165943,0.303794590898292,Transport,1
jena_weather/H/medium,kernelsynth,3335.529761904762,3335.529761904762,20.52334914434524,1.0828162706064928,7.791855811900018,0.7676461907958378,23.167818397525362,57.7540454159253,0.3534072467587267,0.12558601329373068,0.11312498232540207,Nature,21
bizitobs_application/10S/short,kernelsynth,4400474.737777778,4400474.737777778,881.2338888888889,3.3766327133405603,0.048483479817708335,0.048073679606119794,33.87781529496659,2097.7308544657913,0.08090109418688692,0.03398566870192319,0.03147856285837558,Web/CloudOps,2
m4_hourly/H/short,kernelsynth,2708354.267310789,2708354.267310789,341.2777526167472,1.9586848657116496,0.19661477990388487,0.1470051395336403,21.75646234151798,1645.7078316975917,0.22467544427034986,0.046591946159519775,0.03673545674268466,Econ/Fin,1
