dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,real_reference,438.87418154761906,438.87418154761906,14.39042503720238,1.3822333727360565,1.2779632677480632,1.597688220796131,42.07821764980144,20.949324131045827,1.268513396330893,0.8713620938030431,0.8106965455240387,Web/CloudOps,7
ett2/D/short,real_reference,180927.2888888889,180927.2888888889,305.8937003968254,2.93787947411424,0.6803153386191716,0.35570194304935515,46.97905106698421,425.3554853165631,0.24344216687259948,0.17507103547015476,0.14777715510380296,Energy,7
bizitobs_l2c/H/short,real_reference,273.69574652777777,273.69574652777777,10.720610119047619,1.0296519135551683,0.8694494599632794,1.1253715394035217,17.90357127901997,16.54375249233915,0.8917506286194702,0.5778683413736957,0.4876488252979161,Web/CloudOps,7
ett1/H/medium,real_reference,495.19910714285714,495.19910714285714,11.290526181175595,1.7893373078754393,10907281496023.006,0.5351033891950335,52.44235431986557,22.25306961169306,1.0658692836846417,0.5407894399803991,0.5143389951036401,Energy,7
ett2/H/medium,real_reference,346.19706101190474,346.19706101190474,10.99988025483631,1.2160032952502644,0.20382786019187074,0.19524329049246653,29.396615012485736,18.60637151655058,0.25073282149529486,0.1482304601922084,0.13547729509073916,Energy,7
bizitobs_application/10S/medium,real_reference,25668002.133333333,25668002.133333333,2919.78375,8.770779048529274,0.11842089335123698,0.12420309702555339,287.00454085761646,5066.359850359361,0.19894104013561903,0.11465131442546013,0.11092365853011994,Web/CloudOps,2
solar/W/short,real_reference,2223621.138686131,2223621.138686131,1191.870894160584,1.3063437995351754,0.27323278719491334,0.22961840664383268,9.53201958761625,1491.1811220258026,0.30438734837344955,0.24329064774115014,0.19617774881117378,Energy,1
sz_taxi/15T/long,real_reference,23.354992432336182,23.354992432336182,3.354597633992165,0.632797629502444,7768764988665.145,0.6307359831285613,20.690237513493706,4.83270032511185,0.44730613352014437,0.3104955813998524,0.2981228453717673,Transport,1
sz_taxi/15T/medium,real_reference,22.42230235042735,22.42230235042735,3.2691297743055556,0.6391011116928429,10848729475754.666,0.5538023337339744,18.91876186469601,4.735219356104567,0.44069119901602605,0.3042470921902296,0.286440133591088,Transport,1
bizitobs_application/10S/long,real_reference,22084840.106666666,22084840.106666666,2725.411666666667,8.953472972458336,0.12374966091579861,0.12571629842122395,306.5981304795681,4699.451043118405,0.18123904249041783,0.10510823420156547,0.10300333210988229,Web/CloudOps,2
sz_taxi/H/short,real_reference,8.634586692875267,8.634586692875267,2.007990519205729,0.6083615751244704,0.8119249262361445,0.3425674112434061,7.095825167442234,2.9384667248201515,0.27373630836541,0.18705670794817697,0.15523874400230742,Transport,1
solar/D/short,real_reference,149684.07201946471,149684.07201946471,263.844099756691,1.0253310029853098,1.0624541419555962,0.45747598986846105,9.610348132304287,386.8902583672335,0.5589246468257976,0.38116485769358016,0.29548678156090774,Energy,1
m_dense/H/medium,real_reference,42958.41333333333,42958.41333333333,87.70864583333334,0.7680265397951117,0.266267597995131,0.2115010240342882,17.917958267235985,207.26411491942673,0.36061337492111606,0.15260196293996603,0.13720534719154967,Transport,1
us_births/D/short,real_reference,385026.7733333333,385026.7733333333,381.1318489583333,0.5603713316568107,0.03668324788411458,0.03603770891825358,5.6789664464318514,620.5052564912994,0.05816733268632366,0.035728018133274086,0.030882039913271892,Healthcare,1
saugeen/D/short,real_reference,1198.1654166666667,1198.1654166666667,13.218753255208334,2.936182919535749,0.2912143961588542,0.3597571563720703,62.0619831778812,34.61452609334218,1.1211727476078952,0.4281585675079729,0.37825531109262417,Nature,1
m4_hourly/H/short,real_reference,1110238.8148148148,1110238.8148148148,242.44134963768116,1.5687248991199076,0.10110163419910867,0.09556817317354506,13.206480000811384,1053.6787056853786,0.1438504008781865,0.033098595564901294,0.02646068146179935,Econ/Fin,1
solar/H/medium,real_reference,2528.014598540146,2528.014598540146,27.080358500608273,2.109347705913138,6.817654566612861,1.6422420306797445,55.26966037262409,50.279365534383444,1.8111800991619673,0.9754977190579771,0.8843679997889816,Energy,1
