dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
us_births/M/short,stepfunction,368258389.3333333,368258389.3333333,15735.86328125,1.7806453490676761,0.048009246587753296,0.04919929305712382,13.563613852044988,19190.059649030103,0.0596041944337137,0.04887548406580202,0.03945693576761523,Healthcare,1
bizitobs_l2c/H/long,stepfunction,369.4750496031746,369.4750496031746,13.512890625,1.3765680486059533,1.4875982148660947,1.2113112676711308,41.6717888406085,19.22173378244467,1.174118976771773,0.8254063599790444,0.778774557773873,Web/CloudOps,7
ett2/D/short,stepfunction,166152.53333333333,166152.53333333333,253.08526785714287,1.6983123001509501,0.6948321145678323,0.16557978069971477,18.487938522389417,407.6181219393138,0.23329060582725256,0.14484737622419933,0.12460764098418228,Energy,7
bizitobs_l2c/5T/long,stepfunction,384.9920634920635,384.9920634920635,14.169635416666667,1.323940577284527,1.0196298251710865,1.2924820963541668,48.22238251370165,19.621214628357325,1.1017018676137003,0.7956038450028318,0.7790908064446255,Web/CloudOps,7
covid_deaths/D/short,stepfunction,4205557.221052632,4205557.221052632,339.6461152882205,47.472834263689556,0.13397355012936318,0.41957613149083645,1606.0125340143488,2050.745528107432,0.7716029850258723,0.12779350378527485,0.11335498127133874,Healthcare,1
sz_taxi/H/short,stepfunction,9.952649238782051,9.952649238782051,2.2244852180154915,0.6819813905646721,1.3319437401926415,0.3357156932863415,8.32831973308106,3.1547819637467898,0.29388740772849153,0.2072245251067983,0.17439432919278208,Transport,1
jena_weather/D/short,stepfunction,690.8269841269841,690.8269841269841,13.595495411706349,1.447006679006573,1.7265504168980013,0.5032503642733135,20.73074113270146,26.283587733165046,0.15827015668588695,0.08186710318538039,0.0681138723305193,Nature,21
sz_taxi/15T/medium,stepfunction,23.380365251068376,23.380365251068376,3.461725844684829,0.6850486153508601,12375653672718.441,0.5255285018529647,13.085477286020247,4.835324730674081,0.4500076750289302,0.32217137125700546,0.28701429478546087,Transport,1
hierarchical_sales/W/short,stepfunction,1133.0374735169491,1133.0374735169491,14.15081269862288,1.047787077021017,1.1737048927454448,0.5527617890956038,25.00794137340451,33.66062200133784,1.5453756207162777,0.6496707326711004,0.6003124698336328,Sales,1
m_dense/H/medium,stepfunction,428518.1511111111,428518.1511111111,361.5304861111111,2.7886057669412083,2.1803821380043202,0.6896830919053819,58.153751122715114,654.6129781108156,1.1389438803503071,0.6290173713094591,0.5558516911367656,Transport,1
us_births/W/short,stepfunction,5811643.428571428,5811643.428571428,1848.8582589285713,1.6804744570801684,0.024997047015598843,0.024982729128428867,14.152116660694805,2410.7350390641086,0.032725491772055595,0.02509806957622065,0.02050482851299743,Healthcare,1
bizitobs_l2c/H/short,stepfunction,487.0109126984127,487.0109126984127,13.891364203559029,1.3228476832897702,1.1205274549891338,1.225919451032366,18.45956118248947,22.068323740112493,1.1895391675459468,0.7487801069704144,0.6174840551772722,Web/CloudOps,7
ett1/D/short,stepfunction,54162.71111111111,54162.71111111111,147.89583333333334,1.769575589053859,1.4770269484747023,0.47800452822730655,40.07512116138646,232.72883601116365,0.6112700074776799,0.3884533120049112,0.34988531113745763,Energy,7
ett2/H/medium,stepfunction,538.1108258928572,538.1108258928572,15.578435407366072,1.7395846704126605,0.29069418754225196,0.30759012131463914,26.221170209488523,23.19721590822608,0.3125974019346757,0.20992943523118648,0.1789532470435793,Energy,7
ett1/W/short,stepfunction,2025089.4285714286,2025089.4285714286,1027.3719308035713,1.7215089576823834,0.8070477076939174,0.5952303750174386,34.437161843119135,1423.0563687259296,0.5662680942681789,0.4088158123220501,0.36014778385303364,Energy,7
ett1/H/short,stepfunction,328.1006324404762,328.1006324404762,9.993826729910714,1.6832719639290787,0.7634348551432292,0.48642701648530506,36.09116963472168,18.11354831170514,0.8454334053027693,0.4664527799235425,0.42376665713957223,Energy,7
bizitobs_l2c/5T/medium,stepfunction,176.335724914966,176.335724914966,9.35676950467687,0.8967253499698282,0.6514767369806307,0.9502947956526361,31.45771764824085,13.27914624194515,0.6986783706287127,0.49230367320048884,0.478630571718029,Web/CloudOps,7
saugeen/M/short,stepfunction,974.001953125,974.001953125,18.98235357375372,1.1114560047077258,0.5922815232049852,0.5476200921194894,27.199872503579112,31.20900435971965,0.9369879370149619,0.5699072008114475,0.523898855413399,Nature,1
bizitobs_service/10S/medium,stepfunction,114619.04253968254,114619.04253968254,109.97553571428571,4.39842581099207,0.17431797572544644,0.17843128022693452,143.8628093838272,338.5543420777269,0.25480397591791903,0.08277017976413853,0.0806423113161447,Web/CloudOps,2
bizitobs_application/10S/medium,stepfunction,18649511.253333334,18649511.253333334,2362.405208333333,7.1019320427074275,0.09296661376953125,0.09810347239176433,258.6919841099963,4318.507989263576,0.16957509860992953,0.09276469955727702,0.09484275099712153,Web/CloudOps,2
hierarchical_sales/D/short,stepfunction,52.90654195948739,52.90654195948739,3.4441236693881767,1.1939174505022767,1.2694304282861344,1.1272524319191815,32.02844888240884,7.273688332578417,2.2314870291959554,1.0566190003994977,0.9743264013260097,Sales,1
electricity/W/short,stepfunction,260101229418.55136,260101229418.55136,52830.58018018018,2.185679412842833,0.28774770560790575,0.13061714859696122,25.693997464059265,510001.20531088096,1.1636544495703363,0.12054194982259872,0.1002275481488514,Energy,1
solar/H/medium,stepfunction,3389.9462287104625,3389.9462287104625,28.99351239355231,2.217016986462298,1.3607035267840384,1.9914970084641357,80.51469925811104,58.223244745638,2.097337169456175,1.0444139876048606,1.045895738502364,Energy,1
ett1/15T/medium,stepfunction,31.67016617063492,31.67016617063492,3.1964580233134923,1.954900798532505,1.0562055315463528,0.708624751984127,39.9097509839613,5.627625269208578,1.0726309405841594,0.6092480597178613,0.5383842114885852,Energy,7
ett2/15T/medium,stepfunction,20.77715029761905,20.77715029761905,2.928909350198413,1.2076431376885777,0.17803927647423365,0.20632921006944444,23.389732200341367,4.558195947698941,0.2429145129859087,0.15608688098248316,0.13559736342255613,Energy,7
bizitobs_l2c/5T/short,stepfunction,27.170335751488096,27.170335751488096,3.1750174386160714,0.31968316440310374,0.17509084056309965,0.22344293140229723,5.371035441287404,5.212517218339724,0.1790189399552164,0.10904295034279365,0.09242654462812012,Web/CloudOps,7
jena_weather/H/medium,stepfunction,2645.4075396825397,2645.4075396825397,15.324094742063492,1.0962811103048187,1.9914870494475638,0.8346090649801587,27.67533376462287,51.43352544481605,0.3147308640917329,0.09377085350231086,0.09244879380366315,Nature,21
saugeen/W/short,stepfunction,4500.49453125,4500.49453125,33.95853271484375,2.750727548458947,1.1330841064453125,0.5814112663269043,82.47781468739257,67.0857252420364,2.0250383999105415,1.025066547377606,0.9699321133333577,Nature,1
sz_taxi/15T/long,stepfunction,21.763853276353277,21.763853276353277,3.3661330350783474,0.6407395592469685,8650606205514.977,0.5354465408542557,14.153658031576823,4.665174517245124,0.4318002431606031,0.3115632775761811,0.28095600993256786,Transport,1
jena_weather/H/short,stepfunction,2471.407268170426,2471.407268170426,13.20992748799081,0.7718590261095092,1.3224969749411877,0.7664679034758486,13.58898002656429,49.71325042853692,0.3047390247466189,0.08097600508843548,0.07925446916823166,Nature,21
jena_weather/H/long,stepfunction,4965.406878306879,4965.406878306879,21.10319320436508,1.4474962389611898,2.1480091030419017,0.8258268487516535,42.35279473824095,70.46564324766275,0.4242812430460478,0.12706460385978105,0.12399209756490996,Nature,21
ett2/W/short,stepfunction,5982090.285714285,5982090.285714285,1699.1079799107142,1.0852111849028792,0.17336429868425643,0.17863389423915318,8.787301457275467,2445.8312054829717,0.2051677412623016,0.14252911060156168,0.1121465607394908,Energy,7
ett1/15T/short,stepfunction,20.87651599702381,20.87651599702381,2.590341331845238,1.9383052431754175,1.0353148905133265,0.5082203456333705,29.33501126345662,4.569082620945238,0.8637468041385945,0.4896823350825222,0.4091828687000682,Energy,7
m4_weekly/W/short,stepfunction,585077.1116348832,585077.1116348832,404.5717270194986,3.20293105248083,0.10138331793962262,0.11037133647819798,34.026315464002856,764.9033348305413,0.1393535336397667,0.07370669887770911,0.061585163184413316,Econ/Fin,1
kdd_cup_2018/D/short,stepfunction,2746.885298224616,2746.885298224616,21.03890094088703,1.2338936288520799,0.5930323996151672,0.4698864332942682,28.193186112396084,52.41073647855576,1.1740561123583249,0.47129370633927764,0.43231528013567927,Nature,1
