dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
saugeen/W/short,timesynth,1419.2833984375,1419.2833984375,22.659307861328124,1.837602362649882,0.8958808898925781,0.612436056137085,37.64168323790422,37.67337784746013,1.137202236693448,0.6839900495825866,0.6110265015763632,Nature,1
ett2/H/medium,timesynth,342.88098958333336,342.88098958333336,13.086047944568453,1.7319678330042942,0.28519608125046947,0.37110428583054317,19.817869302348733,18.517045919458464,0.24952910163133665,0.17634291137558844,0.1440914365419122,Energy,7
jena_weather/H/medium,timesynth,7870.846825396826,7870.846825396826,38.38006882440476,4.010336103435182,5.234769799402282,0.7877806042555566,49.49522548619644,88.71779317249063,0.5428799107976349,0.23485444796050944,0.19943918580871992,Nature,21
m_dense/D/short,timesynth,21838.59851851852,21838.59851851852,90.55952546296297,1.2763737240048432,0.21379735224153307,0.18814751519097223,11.533480265886187,147.7788838722181,0.25582710734318576,0.15677193408494006,0.12300415995421227,Transport,1
bizitobs_application/10S/long,timesynth,70224968.81777778,70224968.81777778,4918.356666666667,16.927197151527658,0.2548754204644097,0.24818915473090278,251.73793608207998,8380.033938939494,0.3231844130719529,0.18968135739989037,0.15341890401302866,Web/CloudOps,2
bizitobs_l2c/5T/medium,timesynth,349.0454931972789,349.0454931972789,14.03488387542517,1.3443371761031642,0.9676542057418102,1.1474107807185374,37.111984116822164,18.68275925010219,0.982987878428384,0.7384412837529586,0.690987837481019,Web/CloudOps,7
ett1/H/medium,timesynth,642.0254464285714,642.0254464285714,14.82998046875,2.328177144730083,3052410790104.397,0.7960034325009301,38.339219427615404,25.338221058878055,1.2136407246790926,0.7103209101084178,0.6177569468558546,Energy,7
ett2/H/short,timesynth,252.16183035714286,252.16183035714286,10.568318684895834,1.357225431413136,0.20431710057152705,0.23363396780831472,11.587225497021468,15.879604225456719,0.2013975650427397,0.13403568624976187,0.10831116692801224,Energy,7
sz_taxi/H/short,timesynth,11.581496018629808,11.581496018629808,2.4846342689970617,0.7731667115021938,1.6425748645749867,0.3711742498935797,7.928400125168399,3.4031597110082576,0.3170253275971034,0.23145901455633205,0.18984359243346746,Transport,1
ett1/H/long,timesynth,666.4120370370371,666.4120370370371,14.98821304563492,2.3491779262806163,8015545852378.105,0.7813531461846892,48.901916767455624,25.814957622220437,1.2362224092116716,0.7177530605397476,0.642696612611471,Energy,7
