dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
ett1/D/short,tsi,49494.079365079364,49494.079365079364,147.67462797619046,1.7131797128930415,1.0549903506324405,0.5007175990513393,27.021455304450967,222.472648577481,0.5843317909818996,0.3878723087969188,0.331371540273004,Energy,7
bizitobs_application/10S/medium,tsi,461123966.29333335,461123966.29333335,11526.629166666668,62.40861961862651,0.9309697469075521,0.7434870402018229,2280.675626364287,21473.797202482223,0.8432128149799982,0.4526168024783272,0.4410043600980764,Web/CloudOps,2
bizitobs_l2c/H/medium,tsi,314.6277529761905,314.6277529761905,12.15439453125,1.1852333650287328,1.216667675432062,1.114354015531994,24.23425409855882,17.73774937742076,1.0740476668969712,0.7359670503323238,0.637064603476059,Web/CloudOps,7
bizitobs_l2c/H/short,tsi,167.2421875,167.2421875,8.796466161334326,0.8727516476039393,0.9351721747601919,0.8149635678245908,11.500113517924325,12.932215104149792,0.6970795140889593,0.4741520542351072,0.39141789192976073,Web/CloudOps,7
us_births/D/short,tsi,1866896.64,1866896.64,1106.17375,1.6288672294624773,0.11020858764648438,0.10624727884928385,8.808152786827925,1366.3442611582193,0.12808368723940639,0.10369481298025139,0.07724979982635531,Healthcare,1
ett2/H/medium,tsi,1385.8348214285713,1385.8348214285713,23.11543433779762,2.5558473684710754,0.39432468498835727,0.40646594819568455,59.154823029574445,37.22680246043932,0.5016551028152508,0.3114953426813923,0.28364041263949796,Energy,7
saugeen/D/short,tsi,1316.1803125,1316.1803125,19.103291015625,4.240568425895642,0.6412234497070313,0.5113130187988282,80.0972963260005,36.27919944679044,1.1750919141601774,0.6187601476497202,0.5510905288006964,Nature,1
bizitobs_application/10S/short,tsi,8754317.084444445,8754317.084444445,1326.40125,5.397394239807369,0.08321520487467447,0.077132568359375,90.29494708849505,2958.7695220216874,0.11410791392460323,0.05115399443518289,0.04534921527590578,Web/CloudOps,2
us_births/M/short,tsi,194835008.0,194835008.0,11046.483072916666,1.2471937505888253,0.034914654990037285,0.03446942071119944,11.017664073518995,13958.331132338135,0.04335448133034286,0.03431030111050904,0.02878056511187694,Healthcare,1
bizitobs_application/10S/long,tsi,834141479.8222222,834141479.8222222,16799.476666666666,25.041599802654233,0.37615353054470485,0.27576639811197917,929.3643861629672,28881.50757530192,1.1138443044943502,0.6478886656060159,0.6386377672563217,Web/CloudOps,2
solar/W/short,tsi,3593917.6642335765,3593917.6642335765,1505.1758667883212,1.6509827785880444,0.34825485118114163,0.2776440251482664,13.481000639536138,1895.763082305797,0.3869726415148074,0.30724402566536646,0.25201810227811994,Energy,1
bizitobs_l2c/5T/long,tsi,409.0473015873016,409.0473015873016,14.021700148809524,1.3266907670101116,1.1293184377044232,1.274682279058693,45.80620251980677,20.224917838826975,1.1355989003436502,0.7872975008762759,0.7649894372594013,Web/CloudOps,7
bizitobs_l2c/5T/medium,tsi,292.0919642857143,292.0919642857143,12.204916028911565,1.1868211902351822,0.7702768851893494,1.1246760986733002,38.833967356384974,17.090698180171408,0.8992220538780771,0.6421580641837331,0.6160130021555592,Web/CloudOps,7
jena_weather/D/short,tsi,540.3249007936508,540.3249007936508,12.632588510664682,1.6582504898293788,0.8041303863783577,0.5730652339874752,14.044001430074474,23.244889778049085,0.13997222847457066,0.07606882984275425,0.06056810899089401,Nature,21
bizitobs_service/10S/long,tsi,5268894.151111111,5268894.151111111,867.0850793650793,26.27603359992308,2.0445293898809522,0.7488003782242063,966.2472282016374,2295.4071863421336,1.700511025965507,0.6423643468068848,0.6304398805234381,Web/CloudOps,2
ett2/H/short,tsi,234.72425595238096,234.72425595238096,9.494999186197917,1.1188511246042687,0.1767531181877888,0.16874505905877976,8.801378583201558,15.320713297767208,0.1943092730196488,0.12042300859850655,0.09751640256267191,Energy,7
m4_hourly/H/short,tsi,14562531.555555556,14562531.555555556,612.4910426731079,3.942729076840273,0.3217828722967618,0.21973118190796095,37.495250976157294,3816.0885151625553,0.5209803137624465,0.08361854666647614,0.06741951489160641,Econ/Fin,1
kdd_cup_2018/D/short,tsi,3083.774187113505,3083.774187113505,22.834222687678704,1.2906804532314873,0.5813029352849258,0.5030063436627269,27.898371967866982,55.53174035732632,1.2439699110713778,0.5115108185588897,0.46718783047203544,Nature,1
ett1/15T/long,tsi,54.99290674603174,54.99290674603174,4.495636160714286,2.7055129976693477,1.5104945861249726,0.8844698660714285,59.783115646089456,7.415720244590659,1.413443610857711,0.8568726972592599,0.770461586625958,Energy,7
solar/H/long,tsi,3318.1712895377127,3318.1712895377127,34.402714416058394,2.63632631211185,8.021514799911126,1.7762864374933438,67.5766555924466,57.60357011104184,1.9972207552731969,1.1928048059701335,1.084921921183084,Energy,1
m_dense/H/medium,tsi,399106.1688888889,399106.1688888889,370.9145138888889,3.407557946219922,1.7281617733520311,0.9302569678944079,74.94065877606636,631.7485012953247,1.0991625793110746,0.6453443940968503,0.5713131373469066,Transport,1
m_dense/D/short,tsi,24415.905185185184,24415.905185185184,97.0750925925926,1.3391220383894102,0.21808630488730077,0.20117985478153935,10.619065961387971,156.25589648133342,0.2705020700839849,0.1680513445649569,0.12883453905896827,Transport,1
ett2/D/short,tsi,152464.36825396825,152464.36825396825,236.28506944444445,1.5461706062241698,0.5047013540116567,0.1510192386687748,13.011651753671778,390.4668593542456,0.22347448572901868,0.1352321794143284,0.10873102902276978,Energy,7
ett2/W/short,tsi,3631098.8571428573,3631098.8571428573,1470.345703125,1.1116319842395608,0.21291589736938477,0.2356877667563302,8.147756268481166,1905.5442417175354,0.15984594810637023,0.12333946271869463,0.09715069996211062,Energy,7
ett1/W/short,tsi,1549258.2857142857,1549258.2857142857,958.6125837053571,1.8722102759386092,0.7949845450265067,0.6519799913678851,35.54173070168358,1244.6920445292023,0.49529267251539194,0.38145482698083705,0.325657128070616,Energy,7
sz_taxi/15T/long,tsi,84.94088319088318,84.94088319088318,6.695082687856125,1.2947325898965922,11450982393465.07,0.8718449519230769,39.21085571163814,9.216337840535317,0.8530478132988385,0.6196849275220199,0.5884186845709903,Transport,1
