dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,mixed_real_7525,354.4553199404762,354.4553199404762,13.830050223214286,1.3974126596966567,1.0393451483040326,1.4636882963634672,35.14026443233714,18.826983824831746,1.1400024671398246,0.8374305476555998,0.7462345504372749,Web/CloudOps,7
solar/H/medium,mixed_real_7525,2610.658880778589,2610.658880778589,25.100220498783454,1.9101775819016613,3.859241560775555,1.7412572707572993,51.56455354293879,51.09460715945068,1.8405470052801542,0.9041685265675327,0.8273554651645932,Energy,1
sz_taxi/15T/long,mixed_real_7525,19.593625356125354,19.593625356125354,3.059458745103276,0.5796688649612258,8619179526009.801,0.47179316767939816,19.35465379552503,4.426468723048357,0.4097060600604871,0.2831780515802758,0.27327498963153996,Transport,1
ett2/H/medium,mixed_real_7525,374.2406994047619,374.2406994047619,12.535974702380953,1.3325470067050151,0.2122784487554458,0.2071966807047526,33.12981739478744,19.345301739822048,0.26069038144212275,0.16893032069824687,0.1540277054756898,Energy,7
sz_taxi/H/short,mixed_real_7525,9.391278128338675,9.391278128338675,2.124046651726095,0.6475921479514887,0.9974996452657585,0.3573158785828158,7.715492846724091,3.0645192328224464,0.28547887734170546,0.19786805286181938,0.16453832245105945,Transport,1
jena_weather/10T/medium,mixed_real_7525,2948.8784992784995,2948.8784992784995,15.368587662337662,0.8017291417225971,1.2128938186171456,0.7688293368957432,24.466626062505462,54.30357722359089,0.3332601250837419,0.09431675975272741,0.09092218546540282,Nature,21
bizitobs_l2c/H/short,mixed_real_7525,211.40826512896825,211.40826512896825,9.02986072358631,0.881014714710616,0.8062831960993705,0.9937412928021143,8.168722359597488,14.539885320351335,0.7837370560568047,0.4867326188742936,0.3755495505393749,Web/CloudOps,7
ett1/H/medium,mixed_real_7525,532.9565476190476,532.9565476190476,12.330063011532738,1.9059314034468917,5290845539962.181,0.6103969029017857,48.74419083145454,23.085851676276697,1.1057575704752767,0.5905807899411414,0.541969809127123,Energy,7
ett2/D/short,mixed_real_7525,116811.84761904762,116811.84761904762,209.88844246031746,1.3406429900611008,0.403000241234189,0.13677835615854414,11.854275254378736,341.7774826097349,0.1956082707922614,0.12012469333980152,0.09670870595140896,Energy,7
electricity/H/long,mixed_real_7525,13038437.286822822,13038437.286822822,368.3648288288288,1.6889377076412553,0.30013388676392067,0.210251513231982,46.24489774967324,3610.8776338755683,1.4241290707978076,0.1452829795374537,0.1342718910989097,Energy,1
