dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
jena_weather/D/short,fbm,773.4387400793651,773.4387400793651,15.022005208333333,1.708537220974704,1.379728314033418,0.50346921890501,16.6347960300242,27.810766621568796,0.16746626965223252,0.09045702368322858,0.07305617187931084,Nature,21
us_births/D/short,fbm,1743543.8933333333,1743543.8933333333,1160.80375,1.7095140177284565,0.1132092030843099,0.11165924072265625,9.273110000421175,1320.433221837944,0.12377989984972651,0.10881593218337038,0.07925268528269194,Healthcare,1
ett1/H/long,fbm,90359.59365079366,90359.59365079366,144.42853835978835,16.115179049637156,151027001645555.97,1.156174949363426,448.35504332289923,300.5987252980186,14.395021902883556,6.916369891553613,6.501391946431967,Energy,7
m_dense/D/short,fbm,20169.765925925927,20169.765925925927,88.7182349537037,1.243493756890858,0.20793598647290817,0.1817179588035301,9.53432069612743,142.02030110489812,0.24585814876698187,0.15358438785086803,0.1195523768753621,Transport,1
bizitobs_service/10S/long,fbm,1221576.844867725,1221576.844867725,509.55444444444447,17.31259285160018,2.232204861111111,0.5046867249503968,553.9627657314049,1105.2496753529153,0.8188042934454284,0.37749422249057674,0.370511451746484,Web/CloudOps,2
solar/W/short,fbm,2414093.0802919706,2414093.0802919706,1253.4649863138686,1.3802790881801514,0.28960686008425524,0.24087362915930086,7.541417065045859,1553.7352027588133,0.31715620018025936,0.25586354187793886,0.1987358252360732,Energy,1
saugeen/W/short,fbm,1683.909375,1683.909375,24.1998046875,1.9612274410624746,0.8806785583496094,0.5840064525604248,48.097572218810875,41.03546484444888,1.2386896283580457,0.730491227242713,0.6672428869781544,Nature,1
bizitobs_l2c/5T/long,fbm,407.9430158730159,407.9430158730159,13.757738095238095,1.2739600170347756,1.05539305448976,1.1842793712288118,41.29487142214061,20.19759926013525,1.134065002991458,0.7724764261922192,0.7439363009403444,Web/CloudOps,7
sz_taxi/15T/medium,fbm,47.421370860042735,47.421370860042735,4.705949519230769,0.9810886500470469,10486362717899.924,0.6040862776275374,18.390456805856076,6.886317656051218,0.6408868008908826,0.4379671521373343,0.3858514284458721,Transport,1
bizitobs_l2c/5T/medium,fbm,252.64795918367346,252.64795918367346,9.916654044430272,0.9831569304137049,0.8019095846961721,0.9731044156106481,28.214979169946893,15.894903560062057,0.8363056719388869,0.521761833450241,0.4888251227025429,Web/CloudOps,7
sz_taxi/H/short,fbm,10.447290665064102,10.447290665064102,2.307961227547409,0.7096738848242383,1.343464125934829,0.35945181561331463,7.047658424866687,3.2322268894779187,0.30110188046429226,0.21500083051578384,0.17718287809500638,Transport,1
