dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
jena_weather/D/short,mixed_all11,423.26502976190477,423.26502976190477,10.80048828125,1.4053366760689736,0.6689211462960025,0.5087306431361607,14.367157049903645,20.573405886286906,0.12388552910820118,0.06503659203269962,0.05256577001154422,Nature,21
us_births/D/short,mixed_all11,365138.9866666667,365138.9866666667,376.13796875,0.5533189344842859,0.03588202158610026,0.03540212631225586,5.62856436728433,604.267313915511,0.0566451573331475,0.0352598823867434,0.029211607568475604,Healthcare,1
ett1/H/long,mixed_all11,594.2245370370371,594.2245370370371,14.395121321097884,2.432216786571584,11313130780640.438,0.8186160455935847,68.65003452095084,24.37672121178394,1.167348382519668,0.6893511823991623,0.6380247875749167,Energy,7
m_dense/D/short,mixed_all11,17268.872592592594,17268.872592592594,68.33373263888889,1.0038626867311224,0.17575383168666606,0.14776895028573495,11.642729229550817,131.4110824572745,0.22749202197893684,0.11829579908104898,0.09765191653283797,Transport,1
bizitobs_service/10S/long,mixed_all11,348372.331005291,348372.331005291,212.0800925925926,5.782567647130964,0.21601893187830687,0.2501671006944444,205.51657703620566,590.2307438665755,0.43726180425895583,0.1571157126227341,0.15426773980966715,Web/CloudOps,2
bizitobs_l2c/5T/long,mixed_all11,470.6248412698413,470.6248412698413,14.304219990079366,1.345238659943356,1.1907522926835405,1.2545564391121031,49.42180647935646,21.693889491509847,1.2180794625252276,0.8031605675956561,0.7889408727098244,Web/CloudOps,7
saugeen/W/short,mixed_all11,1444.00703125,1444.00703125,17.806617736816406,1.4443459809473098,0.36162686347961426,0.46405391693115233,41.61041768615142,38.000092516334746,1.1470643906449505,0.5375075630394538,0.5063132662577667,Nature,1
solar/W/short,mixed_all11,3497206.890510949,3497206.890510949,1533.191605839416,1.6950658142045314,0.3545495750260179,0.28491422555742474,11.705083644795813,1870.082054486099,0.38173050167942435,0.3129627384337392,0.25304430287727947,Energy,1
bizitobs_l2c/5T/medium,mixed_all11,231.7205144557823,231.7205144557823,10.225777264030611,0.9647813855466685,0.7154526354959881,1.006480189732143,33.116329104929186,15.222368884499623,0.8009204579535908,0.5380262606550301,0.5205266850273325,Web/CloudOps,7
sz_taxi/15T/medium,mixed_all11,20.760134548611113,20.760134548611113,3.2056277544070513,0.630456992773229,12114436147868.664,0.5096948868189103,17.741854720712617,4.556329065005195,0.4240424714813079,0.29833716929448584,0.27944045408574003,Transport,1
sz_taxi/H/short,mixed_all11,9.5914797008547,9.5914797008547,2.1534649449535923,0.6595184538328993,0.948394775390625,0.34461968576806223,7.872766353409328,3.0970114143888297,0.2885057245602203,0.20060854841294704,0.16719186613921921,Transport,1
m_dense/H/long,mixed_all11,494576.4187654321,494576.4187654321,378.6250925925926,2.9874331124410882,1.1890167120112078,0.8394216579861111,85.21440400662505,703.2612734719808,1.2174492253002434,0.6554560062441006,0.6148570884637388,Transport,1
ett1/H/short,mixed_all11,223.74973958333334,223.74973958333334,7.312308175223214,1.2437394788559095,0.6713960193452381,0.3581826709565662,10.65362686387546,14.958266596879911,0.6981634988797168,0.3412953384294854,0.2722743376742437,Energy,7
m4_weekly/W/short,mixed_all11,410114.77008785086,410114.77008785086,317.75958860081425,2.3373584812143293,0.07849644214866348,0.08411524028626861,18.189183335996383,640.4020378542302,0.11667132676950036,0.05789087261497181,0.046652827215928845,Econ/Fin,1
ett1/15T/long,mixed_all11,29.19109375,29.19109375,3.0242485119047617,1.8752296676459221,1.091806155440466,0.6711244419642857,57.500455593255445,5.402878283840938,1.029793942956162,0.5764247565724724,0.5467328489776805,Energy,7
bizitobs_l2c/5T/short,mixed_all11,22.512395368303572,22.512395368303572,2.811231050037202,0.2881289653773412,0.15700469375652856,0.21339681716192335,4.740971760122658,4.744722896893302,0.16295298946823034,0.09654905326282029,0.0806357719243411,Web/CloudOps,7
loop_seattle/D/short,mixed_all11,25.744145059339527,25.744145059339527,3.6476635061919507,1.0860345075673552,0.06708030740050955,0.06678103987277477,11.81438061542171,5.073868845303308,0.09067682224195663,0.06518862537324169,0.05369404584748831,Transport,1
hospital/M/short,mixed_all11,4199.623207301173,4199.623207301173,20.570837068122554,0.7962937152438955,0.19509520317253368,0.1783769550348354,8.386392215384708,64.80449990009315,0.2352553831604624,0.0746769153971306,0.059267987993502795,Healthcare,1
ett2/15T/medium,mixed_all11,31.77797371031746,31.77797371031746,3.1981029885912697,1.2941429702285623,0.18700763489666256,0.20972460549975197,28.202417115709004,5.637195553670057,0.30041635511903947,0.1704326972482618,0.15036445975423182,Energy,7
bizitobs_l2c/H/medium,mixed_all11,486.7156994047619,486.7156994047619,15.105973307291666,1.4320837024165374,1.1353502239459177,1.732609630766369,47.561651274267014,22.061634105495493,1.335865454785651,0.9146896284123586,0.8625421491829394,Web/CloudOps,7
m4_hourly/H/short,mixed_all11,14876528.541062802,14876528.541062802,582.9904388083736,2.7641927523057195,0.24237502830615942,0.17645645755884537,23.457880704779658,3857.0103112466268,0.5265670421831562,0.0795910630804524,0.06426685241662035,Econ/Fin,1
us_births/M/short,mixed_all11,51126880.0,51126880.0,5815.932291666667,0.6608506240519451,0.017867049823204677,0.018073931336402893,4.395861757223373,7150.306287146027,0.02220880257770317,0.018064246045391242,0.01388462372035777,Healthcare,1
ett2/15T/long,mixed_all11,33.185419146825396,33.185419146825396,3.491007564484127,1.4158607446736222,0.2045362025824281,0.2204522026909722,38.25151490375743,5.760678705397949,0.30699699579533346,0.1860421122933249,0.17081524332995202,Energy,7
kdd_cup_2018/H/long,mixed_all11,4692.2767970658715,4692.2767970658715,30.124846936683053,1.3466872619860555,1.3142983240059773,0.7801616209478501,43.0921337237259,68.5001955987417,1.6072913908025062,0.7068506404595339,0.6735222555910421,Nature,1
jena_weather/10T/long,mixed_all11,2834.4867724867727,2834.4867724867727,14.975357556216931,0.9526919715963805,0.8694146558715812,0.7895482663547152,30.90903039958946,53.23989831401608,0.32578406690695744,0.09163678073302778,0.09074060615343751,Nature,21
bizitobs_l2c/H/long,mixed_all11,397.9875496031746,397.9875496031746,13.898358444940476,1.352876576936311,1.3810746961128446,1.4472101120721725,42.081487463551575,19.94962529981891,1.2185806914772819,0.8489518469496478,0.7923187545493433,Web/CloudOps,7
loop_seattle/H/long,mixed_all11,184.8076711386309,184.8076711386309,8.184663635190919,1.664725732449552,0.2878774227618679,0.17617244608918128,47.89047720958125,13.594398520663976,0.24295010187613048,0.1462708968674823,0.1368814135923501,Transport,1
m_dense/H/medium,mixed_all11,412820.87111111113,412820.87111111113,341.46458333333334,2.670801014798161,1.147927137046199,0.7371917724609375,62.772340661336386,642.5113781958348,1.1178886253729428,0.5941052355335849,0.5367046391484949,Transport,1
restaurant/D/short,mixed_all11,202.4810871392547,202.4810871392547,8.7473775917624,0.8205290580531732,0.7432534918015083,0.4661661726849258,14.337356973523402,14.229584925051563,0.6548784678678823,0.40257458424314846,0.3493621723071478,Sales,1
jena_weather/H/long,mixed_all11,5181.747619047619,5181.747619047619,25.821368634259258,2.025766533585891,8.97723609991942,0.8332380022321428,61.65128549397825,71.98435676622817,0.4334255810495066,0.15547324733542578,0.14806287716663916,Nature,21
ett2/H/long,mixed_all11,1026.5322751322751,1026.5322751322751,19.203592096560847,1.9137228993241746,0.28624480750434406,0.27851136222718254,53.49197960228285,32.039542367709856,0.43875687327280266,0.2629784135863611,0.244940284476117,Energy,7
electricity/D/short,mixed_all11,4145053943.974054,4145053943.974054,6240.595603603603,1.7903617267818053,0.5922562913759322,0.11814561338682432,18.190148654884226,64382.093348803544,1.0580116072598649,0.10255371084404474,0.08390488897817863,Energy,1
m_dense/H/short,mixed_all11,140240.36444444445,140240.36444444445,184.9021701388889,1.5597068592420298,0.49595081682326897,0.41340013292100697,18.98895756617906,374.48680142889475,0.6642462696050841,0.32797037515876765,0.2645846715323048,Transport,1
loop_seattle/H/medium,mixed_all11,172.7047342621259,172.7047342621259,8.0398485874613,1.6039626162617893,0.26317948694691695,0.1720950163062758,37.51406801636938,13.141717325453547,0.23227835644288788,0.14210340777366662,0.12858629016649545,Transport,1
bizitobs_service/10S/short,mixed_all11,21848.800846560847,21848.800846560847,46.24892195767196,2.3144300653483865,0.4445467509920635,0.10982106688161376,35.962717727069574,147.81339873827693,0.10950489126089656,0.034262679927114674,0.03321893137850243,Web/CloudOps,2
bitbrains_rnd/H/short,mixed_all11,3413181.9076765697,3413181.9076765697,224.7939665828396,5.761849087619765,2.5613317595259195,0.5451212167932953,210.348850184188,1847.479880181803,8.08547622284677,0.9838084253811206,0.8628905856210529,Web/CloudOps,2
ett1/D/short,mixed_all11,42274.101587301586,42274.101587301586,136.64835069444445,1.6929763361853427,1.2475142221602182,0.49595230344742064,28.034899620093018,205.60666717619247,0.5400327313810965,0.35891142577105883,0.30958864899105515,Energy,7
ett2/H/short,mixed_all11,192.8292224702381,192.8292224702381,8.737077985491071,1.0456014782936245,0.16492559842655388,0.15856234232584634,8.112649873732723,13.886296211381858,0.17611687323738018,0.11081045893105801,0.08954789884469005,Energy,7
ett1/H/medium,mixed_all11,552.5150669642857,552.5150669642857,13.208651878720238,2.1393587593691,7732774299881.617,0.7086458478655134,51.86098651761873,23.5056390460733,1.1258643903860837,0.6326631139918589,0.5663192808154434,Energy,7
ett1/15T/medium,mixed_all11,28.594303075396827,28.594303075396827,2.865048983134921,1.8067703535345976,1.182810154650192,0.6025924246651786,52.635589214663746,5.347364124070553,1.0192128892147103,0.54608116898158,0.5149608177417008,Energy,7
hierarchical_sales/D/short,mixed_all11,31.572258681273254,31.572258681273254,2.413555769429516,0.7784597502451398,0.690533663412735,1.1922291623604795,16.295241155074866,5.618919707672753,1.7238223405319522,0.7404521815432028,0.6617739132239658,Sales,1
