dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
hospital/M/short,arima,4980.628287038095,5249.543792301859,22.600192564044605,0.8700472934606266,0.2251494805005155,0.193172713302105,9.136055904980978,70.57356648943069,0.2561984345387645,0.0820439470924287,0.0673324586748932,Healthcare,1
bizitobs_l2c/H/medium,arima,245.33080037434897,245.85003778366814,12.065753537132627,1.18213865881699,1.5024632062521728,0.960340472630092,10.493387663977815,15.663039308331859,0.9484208438603732,0.7305997211799982,0.5793688530866848,Web/CloudOps,7
ett2/D/short,arima,151936.91158234127,170160.4576140873,260.26459147135415,1.955616847721176,0.49544460167960513,0.2080239553300161,20.387828393162096,389.7908562066859,0.2230875783284981,0.1489562838929529,0.128782961457089,Energy,7
ett2/H/medium,arima,527.8883997417631,604.9686875661214,16.403571937197732,1.9797175073102082,0.29010494991220254,0.3314310860066187,14.327531500912912,22.975822068900236,0.3096139518081749,0.22104866219868713,0.17191963122829576,Energy,7
bizitobs_l2c/H/short,arima,198.63379756988041,196.34027901149932,10.302496770071604,1.0133892613938698,1.0581001932386587,0.8539406820422127,8.631927109702136,14.093750301813936,0.7596892980512118,0.5553310064265322,0.44331893130061933,Web/CloudOps,7
ett1/H/medium,arima,440.8702232724144,461.67821814219155,12.793399547395252,2.106778231620747,11108497922335.12,0.7002991965838841,14.958186786896444,20.996909850556925,1.0057022556566755,0.6127735401974508,0.4880121053467674,Energy,7
bizitobs_application/10S/medium,arima,28869508.473496094,25189209.88,2854.0678116861977,11.152918397630698,0.16430431365966797,0.1561466185251872,150.87237194228695,5373.03531288378,0.21098328800571098,0.11207084562740957,0.09060408169102119,Web/CloudOps,2
solar/W/short,arima,3551044.974053376,3683160.3049726277,1567.2818848547274,1.7251321782789875,0.3610408830381658,0.289252450540118,20.607143091494102,1884.4216550584893,0.38465755559331766,0.3199214024820761,0.2668060782520133,Energy,1
sz_taxi/15T/medium,arima,69.79769490070832,79.35756016918737,6.46331080493764,1.3123048135198374,13312316120579.61,0.6480284785613035,8.10606960180196,8.35450147529512,0.7775257929758786,0.601518938469178,0.4344689949344729,Transport,1
bizitobs_application/10S/long,arima,32094756.364166666,26109398.30017361,3045.7716362847223,12.490541257395366,0.18231598748101127,0.1728208499484592,203.05006368028705,5665.223416968361,0.21848503976281258,0.11746324691608022,0.09209725617509482,Web/CloudOps,2
sz_taxi/15T/long,arima,78.49316148893786,90.83625953000495,7.001322366437342,1.365795426634772,8849136556623.303,0.6745496000659432,9.509782419723674,8.859636645423889,0.8200321363361127,0.6480298873535494,0.4682000985006278,Transport,1
m_dense/H/medium,arima,291986.49428819446,298814.0060742188,318.5814041137695,2.495085238360319,1.8533977609288443,0.6266464161872863,14.415580449933204,540.3577465792403,0.9401542454904944,0.5542914143601735,0.4225591640809437,Transport,1
sz_taxi/H/short,arima,13.032711521937298,14.814678956810226,2.899825054610896,0.8989173703709824,1.5361693589987917,0.42541103249686396,7.226165768186988,3.610084697335687,0.33630166897140273,0.27013659992810196,0.214864867890086,Transport,1
solar/H/medium,arima,2648.142412810314,2795.8001970351465,42.32639680291614,3.242712474153635,12.225651497194514,1.564619160394599,19.337523308426086,51.460105060233936,1.8537130919989149,1.5246956025229301,1.106760757404858,Energy,1
solar/D/short,arima,133667.54554630475,142580.02266955597,265.3679822044651,1.0371434581081729,1.100644601812618,0.44394284246031673,7.317474776863622,365.6057241705944,0.5281757640524036,0.3833663629688901,0.3051974008259618,Energy,1
us_births/D/short,arima,1726110.6133333333,1734834.0266666666,1192.2798209635416,1.756040181587939,0.11455002824465434,0.1144041128953298,10.399937241248681,1313.8152888946502,0.1231595223377211,0.11176655842261857,0.08802439626073016,Healthcare,1
saugeen/D/short,arima,1444.1899873860677,1461.8619006347656,20.35196980794271,4.517507385141308,0.8753595320383708,0.6085342645645142,58.33857302660455,38.002499751806695,1.230910003391728,0.659205141475782,0.5541301457038321,Nature,1
ett1/15T/long,arima,31.133046769111875,31.105281400075036,3.225994339897519,1.9757593542407346,1.2134581038216175,0.6790984450446235,17.35659421028319,5.579699523192255,1.063496190283966,0.6148776786452835,0.508268417661224,Energy,7
m4_hourly/H/short,arima,64935230.19186986,62136609.03308506,1260.1257348538597,11.625414355095652,0.8155599044524913,0.3383379341635535,69.60293281883837,8058.239894162363,1.1001277367572428,0.1720349965900881,0.1332313569747499,Econ/Fin,1
bizitobs_l2c/5T/medium,arima,123.48124027900955,129.17385303990372,8.313596523051359,0.8055212428656585,0.7480427895337016,0.7220953652647888,7.183478163282046,11.112211313640934,0.5846657438460754,0.4374174462664498,0.3514387768923686,Web/CloudOps,7
m_dense/D/short,arima,21531.55616409867,22013.005550853588,91.83289074933087,1.2670965963914402,0.21557058591680053,0.18534057802624174,8.930134706549634,146.73634915759172,0.2540223257995438,0.1589763179127967,0.12185849062052229,Transport,1
jena_weather/10T/medium,arima,2827.50482460334,2784.179035865543,20.01652504244408,0.9681908297053813,3.439293174577583,0.7258421755574568,10.024189129179522,53.17428725054375,0.3263296968737587,0.12284107389704564,0.10349973325604912,Nature,21
kdd_cup_2018/H/medium,arima,5416.645481402668,5381.194481058967,27.93275093392335,1.1758397589119676,1.1877611286574028,0.6207036471121342,12.687457288807737,73.59786329373067,1.540536570291928,0.5846830654692458,0.4927164894865153,Nature,1
jena_weather/H/short,arima,3127.0597713515504,3618.7862838955957,24.10534964397444,1.0749271517660648,23.443947673182638,0.6947604460126674,8.509627920799302,55.920119557736555,0.3427867552827627,0.14776425112759456,0.11229791889661997,Nature,21
ett1/D/short,arima,49646.49390268477,53592.144487847225,151.784379117451,1.849998402763424,1.393123481765626,0.5005760067985171,14.036598576537259,222.81493195628693,0.585230831669975,0.39866672150519783,0.3153605941929001,Energy,7
loop_seattle/H/long,arima,146.7100868826106,150.64026227176169,8.20173339292607,1.647591276772567,0.2777434197618742,0.17243585003008743,15.497997126960264,12.112393936898295,0.21646466000661083,0.14657593202580757,0.11901963002522227,Transport,1
bizitobs_service/10S/short,arima,58609.70383934169,63892.2940163589,92.05151653400016,4.0447663412987405,1.4742723721213935,0.19506550801242922,34.801929387814695,242.09441100393394,0.1793512832174784,0.06819470777547022,0.05455327992584605,Web/CloudOps,2
ett1/15T/short,arima,15.39937571631301,15.806705274326461,2.3648925648558707,1.533080108103408,0.7396185823747841,0.4970089379165854,10.578607523357356,3.924203832156659,0.7418378388297783,0.4470631150709437,0.34921606010277273,Energy,7
restaurant/D/short,arima,202.9966130479718,203.47782343894903,9.213658222177287,0.8638850882765544,0.9317332672407015,0.47574705430480896,6.777587232790448,14.247687989564195,0.6557116128411327,0.4240338992162074,0.3352399307792492,Sales,1
us_births/W/short,arima,6249913.017857143,6892335.669642857,1909.9989536830358,1.7343840589102792,0.02571292853515063,0.025970494441155876,15.576590574891522,2499.982603510901,0.03393701870830213,0.025928048512396794,0.020632663374298428,Healthcare,1
solar/H/long,arima,2831.8823600181213,2979.5142346458715,43.76903857303072,3.349876433406313,16.82248251248675,1.5633632594941596,19.986828990666545,53.215433475807764,1.8450763002226351,1.5175525309089573,1.1023337055105804,Energy,1
loop_seattle/D/short,arima,31.185593710939706,31.92232962648689,4.538215101023576,1.3245472349466787,0.08522447900014272,0.08276194298045923,9.997268869488877,5.584406298877232,0.09980080017019517,0.08110396596996838,0.06351568269773926,Transport,1
ett2/15T/medium,arima,18.966845465160553,19.35741661616734,2.8538109443301245,1.1873895035147417,0.180804563583958,0.2063582120244465,10.00049199088789,4.35509419704793,0.23209084074056813,0.1520847429277599,0.12320833276447894,Energy,7
loop_seattle/H/medium,arima,141.50582057885956,144.1392804605427,8.199876093987465,1.6298696962199066,0.26331924044741445,0.16986930807370026,14.429518862983697,11.895621908032364,0.21025378871392497,0.14493189419390162,0.11702345598177231,Transport,1
ett2/H/long,arima,848.0507299029638,949.1864987650877,20.828049618352658,2.5960382553140344,0.3769607533747632,0.4614077240070969,17.190755033994243,29.121310580105487,0.39879393938766555,0.2852241122258768,0.216574964689496,Energy,7
saugeen/M/short,arima,850.4223981584821,854.3372047061011,20.85766401745024,1.2217056384906264,0.886474955649603,0.5980868112473261,12.239887138233057,29.16200264313962,0.875530747236533,0.6262096052276024,0.5049433949116365,Nature,1
kdd_cup_2018/H/long,arima,4268.446039173758,4242.961040897805,26.58754683710071,1.1281957276885004,1.3711238154343945,0.6603177057805616,11.501153295465155,65.33334553789327,1.5329842919732257,0.6238512864726642,0.5217101077224211,Nature,1
ett1/W/short,arima,1646141.6443917411,1526386.9718191964,968.1194588797433,1.686418791443857,0.7651691543204444,0.5992420571190971,11.90142155185473,1283.0205159668108,0.5105444949717287,0.3852378462035813,0.3153272151883197,Energy,7
jena_weather/D/short,arima,594.9827271153448,676.6603399756616,14.050579572433517,1.5935397885498006,1.3514862502539016,0.5379124003506842,14.07423534157726,24.392267773115005,0.14688131745557972,0.08460745256692212,0.0742986290134428,Nature,21
ett2/H/short,arima,284.5267576626369,307.11559163275217,11.353803567659288,1.278284037501186,0.19265709404512532,0.1832960244090784,9.078338812176169,16.867920964441257,0.21393216120827127,0.1439978133810274,0.11421001718173922,Energy,7
saugeen/W/short,arima,1470.9234436035156,1459.7136543273925,22.506961822509766,1.8242580869007152,0.9050812184810638,0.6137880489230156,22.83165005791772,38.352619774971245,1.1577057157494977,0.6793913557654698,0.5610899093585039,Nature,1
bizitobs_service/10S/medium,arima,183031.0812114082,160581.93966169865,147.46848408585385,6.730209584478994,3.2442039172885613,0.25510401040632047,82.57711914648434,427.8213192577109,0.32198838707788435,0.11098824952905598,0.09745581135317609,Web/CloudOps,2
ett2/15T/short,arima,15.858248823739233,16.20011668418135,2.6848560980388094,1.1364931716236182,0.1540047793466018,0.18106714719462963,9.80999085554354,3.9822416832406384,0.18905118404480462,0.1274596733945842,0.10335600286065945,Energy,7
ett2/15T/long,arima,20.74569977412148,22.415226863073926,3.0392378646608385,1.2615575372729708,0.19103604169890287,0.21652456919352214,11.191178260231984,4.554744754003399,0.2427305763350064,0.16196647635630582,0.13214965313043744,Energy,7
kdd_cup_2018/D/short,arima,2669.804191819007,2665.9994001570703,21.351597623928438,1.2387918783721414,0.6841595554789359,0.46998808220493576,11.402082083296602,51.67014797558651,1.1574661772287005,0.4782984575769124,0.3882297609664321,Nature,1
bizitobs_application/10S/short,arima,7664199.872684191,7319127.187642008,1522.7679302300348,6.974527027219266,0.10503376324971517,0.09909654193454319,59.92353260462784,2768.4291344884,0.10676725205987246,0.05872707573047744,0.047095648024863525,Web/CloudOps,2
bizitobs_l2c/5T/short,arima,40.15346261374653,45.16693964295444,4.00646069532349,0.4137819890839713,0.2387642647202854,0.2599358388267103,4.582245373539439,6.336675990907735,0.21762709580376444,0.13759807300014393,0.11187904286372244,Web/CloudOps,7
ett1/15T/medium,arima,26.410876811496795,26.870314403261457,3.0256642311338395,1.8241135050290251,1.0245727098884705,0.65839078721546,13.664542443510737,5.1391513707514775,0.9795272766047246,0.5766945611118446,0.4561490342179483,Energy,7
m4_weekly/W/short,arima,2296259.205014749,2879402.0051566404,541.3432304557243,6.614512730308553,0.10946601328727569,0.1108149111810501,47.67889841258182,1515.3412833466753,0.27607168187632347,0.09862434142506189,0.0791916785742264,Econ/Fin,1
jena_weather/H/long,arima,6173.713379622404,7369.004802174054,38.37131134416691,2.2498132175884336,42.48059009696859,0.7976353599596275,16.59181253270939,78.5729812316066,0.47309642511623057,0.23103781910014773,0.1736293196261728,Nature,21
covid_deaths/D/short,arima,331126.2197748813,319994.87514312594,118.1367363672756,52.50728418302165,0.15560762845780382,0.47153861728639235,1328.3747336758627,575.4356782255348,0.21651046411600305,0.04444951988187952,0.03941880997610039,Healthcare,1
solar/10T/long,arima,124.00083196474495,110.8549070384574,7.848068204742085,3.4716668152270005,4.840099222809265,1.6571785452688794,43.19352417768347,11.135566081917208,2.4067744867254284,1.6962344066124253,1.4438302410325672,Energy,1
hierarchical_sales/W/short,arima,588.2169948508174,636.0549224685815,13.79846805561397,0.964251671937592,1.1926018963503324,0.595811508911646,8.192742850767464,24.253185251649263,1.1134755980185007,0.6334944177659775,0.4941214415219922,Sales,1
bizitobs_service/10S/long,arima,233809.73159601676,216911.80896335328,163.38570590034993,6.128516238443365,1.8977076713957561,0.275589698946106,115.05143276431956,483.5387591455485,0.35822097973189865,0.1210413571504282,0.11113939029510929,Web/CloudOps,2
bitbrains_rnd/5T/medium,arima,4387388.376737912,4550958.32257893,381.48458144078836,5.584487131166992,9.249970202936547,0.8765779965280112,171.92961095951216,2094.6093613697785,8.813089331868767,1.6051000997959841,1.336809511511644,Web/CloudOps,2
electricity/W/short,arima,453354769782.18604,413204494198.74976,61300.52720083976,2.2858162224029543,0.30034078551948096,0.13968270860176096,31.610076804082013,673316.2479713274,1.536285508261658,0.1398675761519126,0.11879521807765753,Energy,1
car_parts/M/short,arima,1.5462916226160774,1.5841521788183097,0.7163114282490011,1.2724609751669618,0.641346203721001,1.769217512562279,16.75822959605843,1.2434997477346257,2.9817848363168293,1.7176413253998826,1.359636361665257,Sales,1
bitbrains_rnd/H/short,arima,3747034.8079201416,4012824.25618886,336.4342377958854,7.145374778528579,7.899195255741751,0.7645996648198286,230.9501551917858,1935.725912395694,8.471683765764197,1.4724008457660371,1.2364299332773256,Web/CloudOps,2
us_births/M/short,arima,438953397.3333333,368019872.0,15617.760416666666,1.7652886942320467,0.04787582904100418,0.04896086702744166,13.35337283344181,20951.21469827784,0.06507433000927375,0.048508657373621346,0.040147277353241716,Healthcare,1
bizitobs_l2c/H/long,arima,251.1168267144097,246.424949234251,11.876115199497768,1.1872050114028618,1.6737990833109886,0.9418449159652468,10.973729640116193,15.846666107241917,0.9679601422224626,0.7254274230150356,0.5721709436475702,Web/CloudOps,7
jena_weather/10T/short,arima,1773.7985315759408,1632.3240989013402,13.383255169537687,0.4547593277891434,0.93949341949346,0.5930711750884444,4.207608448157195,42.116487645290896,0.26159618510265936,0.08312679172328741,0.07117090691055304,Nature,21
ett1/H/short,arima,326.11390890053343,337.55674463510513,10.622810532649359,1.7709852981207284,0.8412511011674291,0.5489489519879931,11.78669001032255,18.0586242250215,0.8428698735628262,0.49581002732921986,0.3887701811299687,Energy,7
bizitobs_l2c/5T/long,arima,199.29782154870412,215.5502721392919,10.84026605030847,1.037724408361441,1.1433449067917334,0.8573074231828962,9.826331022568832,14.117288038029972,0.7926646205389841,0.6086647344845477,0.4828623651908359,Web/CloudOps,7
solar/H/short,arima,2527.440534455139,2675.507380316147,40.705650947542466,3.1457146268077856,11.956221655339652,1.565991648853413,19.336482724430002,50.2736564659379,1.8531037207642636,1.5004238507722214,1.0952962846627536,Energy,1
m_dense/H/short,arima,253101.3745344374,263130.938955485,298.03357918633355,2.3660926933773982,1.7188297465509073,0.5998620604806476,13.619024437351674,503.0918152131253,0.8923596029456844,0.5286373547431532,0.4009360754283542,Transport,1
m_dense/H/long,arima,292604.20101658953,298339.35274498456,319.56392969955635,2.504096500228831,1.793612564697757,0.6282096283524125,14.612871618667935,540.9290166154793,0.9364281403739244,0.5532124312566886,0.42204694581197033,Transport,1
