dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
hospital/M/short,chaotic,9450.377971683984,9832.7362376996,32.111850385819245,1.1348066439162503,0.2895956423970628,0.2696792331695401,11.687033652724407,97.21305453324663,0.3529059622044085,0.1165734737271923,0.0936943616644375,Healthcare,1
bizitobs_l2c/H/medium,chaotic,283.30279860723584,282.55541178385414,12.615719277518137,1.217188732959106,1.520099311013235,0.9998577844528925,8.641538557662194,16.831601189644314,1.0191790424296556,0.7639009829161708,0.5955530500326994,Web/CloudOps,7
ett2/D/short,chaotic,408346.65746527776,458546.7880704365,473.3135808066716,3.772232887712286,0.7801579619210864,0.34557976457807754,31.6280635452524,639.0200759485399,0.3657280281892038,0.2708898345120778,0.20993997011452115,Energy,7
bizitobs_l2c/H/short,chaotic,282.0448346440754,277.6735665381901,10.87508593665229,1.0479437395737683,1.143270451387913,0.896108571499113,10.407230628368318,16.79419050279219,0.9052499527228364,0.5861950314529599,0.47927219848316166,Web/CloudOps,7
ett2/H/medium,chaotic,537.4801355997721,510.2654554094587,15.047720890953427,1.6774274706911683,0.2659020006616352,0.2727994158154442,12.765777871469217,23.18361782810811,0.3124141330589,0.20277769895601952,0.16134687369415085,Energy,7
ett1/H/medium,chaotic,432.26191416695,505.909489767892,12.455093451908656,2.1201688870430515,5413550942482.142,0.6494482767014277,14.258826453818441,20.790909411734496,0.995835322500105,0.5965694794211339,0.46586022806264155,Energy,7
bizitobs_application/10S/medium,chaotic,37247452.99294596,38229641.26071615,3329.9957649739586,12.271535142285565,0.17573429107666017,0.176605011622111,113.78842689627935,6103.069145351867,0.23964956867581885,0.13075913606125508,0.10525762096012396,Web/CloudOps,2
sz_taxi/15T/long,chaotic,31.368081369427195,39.961881949487235,4.775354993988646,0.9150867114547738,8680637326566.673,0.5808611100895112,6.735986517293204,5.6007215043623795,0.5183927743377729,0.44199832501104513,0.33222711613901157,Transport,1
solar/W/short,chaotic,2799061.484489051,2975653.552919708,1319.4636865323478,1.43580176103646,0.2985609323874007,0.24449058143544372,9.213748958516502,1673.039594417613,0.34150919411905184,0.2693355146886842,0.20047710659266393,Energy,1
bizitobs_application/10S/long,chaotic,35314135.44328993,32625029.544791665,3309.450901692708,11.099786606037204,0.15272026062011718,0.15828055063883464,101.11952419551109,5942.569767641768,0.22918118076114538,0.12763230302333645,0.09903905080655834,Web/CloudOps,2
sz_taxi/15T/medium,chaotic,25.105052493168756,30.257143614027235,4.041816618503669,0.796746757844037,15377225064608.986,0.5339994836057353,6.275507061665469,5.0104942364170775,0.46631011029100816,0.37615849140228164,0.2918233038781861,Transport,1
m_dense/H/medium,chaotic,300287.09099772136,322101.7193391927,324.8215622965495,2.553588290905033,1.949045456259037,0.6380959754519993,15.5850367026609,547.9845718610346,0.9534239584051064,0.5651485016235879,0.4256036021395464,Transport,1
ett1/15T/long,chaotic,26.445042090415953,28.722386439187186,3.0034110235789466,1.8336561504650517,1.1551998935283023,0.6355080689324273,12.90603957160001,5.14247431597047,0.9801606378507667,0.5724530807002418,0.4482038088650601,Energy,7
us_births/D/short,chaotic,2815597.1133333333,2354739.6266666665,1285.25689453125,1.892941103138227,0.12335771640141804,0.12400927186012269,19.12463256754992,1677.974109851917,0.1572964568240734,0.12048240460415614,0.09712412864910253,Healthcare,1
solar/H/medium,chaotic,2740.7011081370706,3220.508570345765,43.966600433869374,3.38488329860193,13.64501526790802,1.5891264476915345,21.91559156221326,52.35170587609415,1.8858306343798024,1.5837795655401705,1.161865935570671,Energy,1
saugeen/D/short,chaotic,2780.9849869791665,1821.9555973307292,27.917668202718097,6.191406089477768,1.4291703112920124,0.7483606433868408,77.84124276114248,52.735045150062845,1.7081006520219966,0.9042599114934051,0.7393027924948158,Nature,1
