dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,garch,271.8206327892485,285.2091203962054,12.753826105026972,1.2444711490620632,1.5479860483865961,0.9849258241199311,12.328556750721697,16.48698373836914,0.9983119318061415,0.7722635612964174,0.6268140446008508,Web/CloudOps,7
ett2/D/short,garch,162704.13718377976,148600.42643849205,242.36247907366072,1.5684868990395677,0.5244094492897154,0.1590628985374693,18.269219600911097,403.36600895933185,0.23085699596568712,0.13871043323182722,0.1174047965933661,Energy,7
ett2/H/medium,garch,737.1945684160505,906.0554869152251,18.887484695797873,2.0981718754545113,0.30372740691746686,0.33313009426707313,18.459396115275084,27.151327194375792,0.36588156385778625,0.2545209811795134,0.20486649947468885,Energy,7
bizitobs_l2c/H/short,garch,219.71360043873864,211.60242965486316,10.846527243417407,1.0433354216207962,1.365059478677434,0.8105546482025631,10.573577994193782,14.82273930279888,0.7989836753876705,0.5846556446217575,0.48847622683284553,Web/CloudOps,7
ett1/H/medium,garch,540.586425513313,474.70054033370246,12.673204049609957,2.1204922378175812,5886312476513.92,0.6591340678078788,25.19017731429108,23.25051452147485,1.1136445822672012,0.6070164605079725,0.5199425192157716,Energy,7
bizitobs_application/10S/medium,garch,21892545.474244792,19716656.62461263,2217.736293334961,10.225660587848164,0.14802142302195231,0.1420065641403198,119.67474923709638,4678.947047600004,0.18372848399863395,0.08708397913846522,0.07327922677628068,Web/CloudOps,2
sz_taxi/15T/long,garch,67.83929953724571,68.20344390217056,5.958156673724835,1.1568992562752616,8109215941722.013,0.6375549339500928,13.618617411906154,8.236461590831691,0.7623521668542308,0.5514763349017773,0.44489708731264493,Transport,1
solar/W/short,garch,4123579.605497263,4602900.669251825,1773.2607000866076,1.961532534386555,0.4072692345311172,0.3197488645567511,11.155753119375664,2030.6598940977938,0.41450843499290946,0.3619668265295107,0.2649092686991131,Energy,1
bizitobs_application/10S/long,garch,31821987.45909722,30603026.847751737,3489.0665581597223,12.48866213974275,0.1799932352701823,0.17617416381835938,104.72811162597684,5641.098072104156,0.21755462157027322,0.13455936149161826,0.10749331665460621,Web/CloudOps,2
sz_taxi/15T/medium,garch,51.527172274467276,53.82443820920765,5.315190978743073,1.0795556041846728,13641603542776.191,0.605016578364576,10.97163971671626,7.178242979620241,0.6680553090339367,0.49466722733680013,0.38404666551927347,Transport,1
m_dense/H/medium,garch,343373.0476649306,304118.1080696615,318.94516608344185,2.5085069376697087,2.0097245694901353,0.6190275242593554,26.620957077252463,585.9804157691028,1.0195319288881872,0.5549243142534394,0.46711771277377906,Transport,1
sz_taxi/H/short,garch,16.336448332947544,16.40014901961017,2.9591855735350876,0.9289402657706874,1.5380782832065198,0.40959772176276416,10.189699897924104,4.041837247211662,0.37652208352652633,0.27566639860566405,0.2265038893497432,Transport,1
us_births/D/short,garch,1831609.7466666666,1783719.1166666667,1209.431806640625,1.7809030793245308,0.11532808899879456,0.11608792344729106,8.678552833577232,1353.3697745504244,0.1268674344018119,0.11337441789950917,0.08687157988657548,Healthcare,1
solar/H/medium,garch,3806.4389099566606,3009.138828160641,45.871457506908406,3.5188790868048954,13.782431875380889,1.5391762577994317,31.934058399283348,61.69634438081936,2.2224463236779606,1.6523969632416733,1.416242450843062,Energy,1
solar/D/short,garch,203672.32881500912,215679.03915754257,317.2798131938108,1.2337365503948754,1.406480673165797,0.4711761810483724,11.933743610031364,451.30070774928896,0.6519758318161556,0.4583612801255023,0.37581182008916325,Energy,1
saugeen/D/short,garch,1205.6453833007813,1194.0416463216145,19.301847178141276,4.283793554618579,0.9183244927724202,0.5925864712397257,45.993083074355305,34.72240463016323,1.1246669424437334,0.6251914197929299,0.517249111167013,Nature,1
bizitobs_l2c/5T/medium,garch,175.2296172758349,177.4534111632782,9.90128623287694,0.9631811344952159,0.7584870990030473,0.8209912029253382,12.034002748293396,13.23743242762111,0.696483630346965,0.5209532753639784,0.44055731911798623,Web/CloudOps,7
ett1/15T/long,garch,35.38290645546383,35.65913591528696,3.426467877645341,2.107970811496835,1.3830641865950697,0.6651063381679474,23.073385940246226,5.948353255772881,1.133761952535829,0.6530881311546654,0.5528641157949,Energy,7
m4_hourly/H/short,garch,66790908.00975539,72327222.41648479,1351.7783080836616,12.282137926920793,0.6877373952580534,0.4270865577190587,99.0046739476929,8172.5704652670565,1.1157363850580568,0.18454759726710737,0.15009201672212935,Econ/Fin,1
jena_weather/H/short,garch,4284.406588795722,5026.71887336862,27.363679517909755,1.5002681008478336,31.15052371411011,0.7694496188799826,16.541772428346345,65.45537860860422,0.40123728322651625,0.1677376047963754,0.1394889329911184,Nature,21
m_dense/D/short,garch,20671.18366961444,20851.01403374566,90.32569408275462,1.2712817576592546,0.21304235615670195,0.1856731973754035,8.5773992749209,143.7747671520091,0.2488953892672998,0.1563671375367071,0.1193858822653297,Transport,1
ett1/D/short,garch,71690.10376674107,68863.33831690229,168.74249514625185,1.9078951759422988,1.301989964076451,0.5355234744056823,18.123003703105027,267.7500770620637,0.7032544852490984,0.44320777743872963,0.35692346253281404,Energy,7
