dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,kernelsynth,139.63265061151412,139.9898943219866,8.220912097749256,0.8348112404018533,0.9620655106797217,0.8641306014288039,7.027555717815655,11.816626024864886,0.7155146715441897,0.497788726412874,0.39715353393002206,Web/CloudOps,7
ett2/D/short,kernelsynth,143388.87715773808,154311.125,266.13193669394843,2.0860731351362443,0.5714409748713175,0.21376484840635268,22.00144745699228,378.6672380306198,0.2167212385295121,0.15231432017339291,0.13114296485787416,Energy,7
ett2/H/medium,kernelsynth,354.5933623904274,355.7273269290016,12.03483606974284,1.3365419369796183,0.21979557691522664,0.22384936809539796,9.8769625184705,18.83064954775664,0.25375509107408517,0.162177141855582,0.13040720498884462,Energy,7
bizitobs_l2c/H/short,kernelsynth,96.48397583620888,95.40257633678497,6.690569871947879,0.6766818139510377,0.6811492588880251,0.6972210488858677,5.301710872374269,9.822625709870497,0.5294647251974436,0.36063888040704783,0.288106800695054,Web/CloudOps,7
ett1/H/medium,kernelsynth,211.81662747519357,223.3561111995152,9.248692128771827,1.646317720198383,8320704709238.199,0.5540589593705677,11.842234114446232,14.553921377937755,0.6970983665033776,0.4429904496414863,0.35379602301886526,Energy,7
bizitobs_application/10S/medium,kernelsynth,11451997.23819987,10995722.89063151,1802.8174403889973,5.647182801948787,0.08181863149007161,0.08003995736440023,42.26439134961498,3384.0799692382966,0.1328828636342902,0.07079133657194668,0.056264518978917315,Web/CloudOps,2
solar/W/short,kernelsynth,2965023.3302919706,3260395.89267792,1462.511474609375,1.6123062676721411,0.3335419957437655,0.270466068909116,9.409132980745506,1721.9243102680125,0.3514877863594944,0.2985351433105663,0.21966731220947683,Energy,1
sz_taxi/15T/long,kernelsynth,22.898591709408667,25.525090674593237,3.7781633925913405,0.7211451108387718,7491613448711.555,0.5329128427722855,6.24600897717024,4.785247298667924,0.4429139390552878,0.3497000522988534,0.28114304964566705,Transport,1
bizitobs_application/10S/long,kernelsynth,12443011.374090713,11912004.176197916,2074.787335611979,6.489951902786601,0.09205003526475694,0.09168520185682509,49.369879849204835,3527.465290274408,0.13604024722117142,0.08001626064081047,0.060702422485717965,Web/CloudOps,2
sz_taxi/15T/medium,kernelsynth,21.27112579997788,23.18313799964057,3.5601801179413104,0.699937329883425,12627803126665.496,0.5064841445694622,5.675728650006139,4.612063074154329,0.42922944110916433,0.3313341768536214,0.26167014423872625,Transport,1
