dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,sde,225.9518560500372,237.8578866141183,11.354510243733724,1.111708838212015,1.344308149165751,0.9956393287295386,7.119457219761346,15.03169504912993,0.910191989083754,0.6875328584060159,0.5249033460674236,Web/CloudOps,7
ett2/D/short,sde,226111.8119171627,187516.1728732639,269.93467785063245,1.8265149343819296,0.5528603294539073,0.17895787500199817,20.330238023037847,475.5121574861811,0.2721481378801312,0.15449072914283504,0.1276608396779526,Energy,7
bizitobs_l2c/H/short,sde,178.3053789138794,203.78604043286944,9.656697829564413,0.9380219295993284,0.899779015879551,0.9280528929971513,6.983872271529808,13.353103718382457,0.7197665471139633,0.520520786769598,0.41266701276463075,Web/CloudOps,7
ett2/H/medium,sde,419.4810582478841,483.05964758736746,14.09489720662435,1.5634319676605426,0.25064448297386427,0.26330121074404034,11.723798474771964,20.481236736288267,0.27599781304123366,0.18993778814034215,0.1498303927619321,Energy,7
ett1/H/medium,sde,418.19726877666653,482.0025016148885,12.10966109321231,2.025225515811473,8121442238831.697,0.6378731018020993,13.823662900142747,20.44987209682903,0.9795004427818674,0.5800240875139286,0.45541154034821396,Energy,7
bizitobs_application/10S/medium,sde,26440432.340729166,21818670.187460937,2350.217706604004,7.580968822685,0.10223229885101319,0.10533358097076416,103.88556768858246,5142.0260929646365,0.2019122356228417,0.09228613444612208,0.08460164706987203,Web/CloudOps,2
solar/W/short,sde,4212075.142563868,4691389.393590328,1802.2169234004334,1.9922089630204425,0.41414746359316973,0.32481992603653537,15.735457292549299,2052.3340718713093,0.4189326763613291,0.36787751538686453,0.29086898269937045,Energy,1
sz_taxi/15T/long,sde,37.396377502615294,29.96164574364991,3.920341740578328,0.7500890413132207,8779660221905.7,0.4925108948324481,6.6075226567361565,6.115257762565311,0.5660173309559583,0.362859826125552,0.28747343518798224,Transport,1
bizitobs_application/10S/long,sde,30118509.76293403,21115771.684375,2517.0423800998265,7.904111678517555,0.10590783860948351,0.10978539360894098,119.76619202620886,5488.0333237813,0.21165152558231304,0.0970722712988931,0.0919566917306012,Web/CloudOps,2
m_dense/H/medium,sde,293805.42244466144,309083.2570220269,321.19507739596895,2.518058427944274,1.792819964845009,0.6350169889132182,14.155656826196097,542.0382112403713,0.9430780418005514,0.558838875830173,0.42044313309678116,Transport,1
