dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,stepfunction,236.02282133556548,248.58891805013022,12.029930696033297,1.2153910115083706,1.536520532449655,0.963251241048177,7.367359992111709,15.363034248987583,0.9302550813959756,0.728430593687173,0.5544164003768712,Web/CloudOps,7
ett2/D/short,stepfunction,180414.16468253967,151755.17253844245,236.32713187081472,1.535564791610077,0.5045230905214946,0.15406460213282752,20.251415261062732,424.75188602587707,0.24309669694696606,0.1352562449910937,0.11182753300786061,Energy,7
ett2/H/medium,stepfunction,512.5700967879523,533.1316658928281,14.996123768034435,1.648725619495387,0.2636534811848139,0.28076740815525963,12.133565378962905,22.64001097146272,0.3050886816947976,0.20208239460168675,0.16095776378311508,Energy,7
ett1/H/medium,stepfunction,442.88656063988094,451.73475400379726,12.867712979089646,2.131451546992761,9264622045779.98,0.7346082057271685,13.703132029697214,21.04487017398494,1.007999441566263,0.6163329775819314,0.47843782379257127,Energy,7
bizitobs_application/10S/medium,stepfunction,40165840.28139974,31945129.055201825,2873.4586527506513,10.755828664584861,0.15376659393310546,0.14514845848083496,65.03858858639491,6337.652584466881,0.24886097013031808,0.11283226690360415,0.10047896856157046,Web/CloudOps,2
bizitobs_l2c/H/short,stepfunction,196.87581038096593,234.0289350237165,10.456522389063759,1.0334086854127245,1.1977831939999148,0.9393503959216769,8.237077573621875,14.031244078162347,0.756320052239925,0.5636333824349246,0.44653397974890147,Web/CloudOps,7
solar/W/short,stepfunction,2990119.8877737224,2238039.2470346717,1172.9575320055885,1.2882473347243832,0.26678286384056954,0.2243010316343203,12.393357003090122,1729.1963126764185,0.3529721837942073,0.23942994704231216,0.19304180296513898,Energy,1
sz_taxi/15T/long,stepfunction,130.2875886487825,66.93559448589966,6.289316331694948,1.2149317357822151,9797500438681.682,0.6540728849563164,15.873929198189282,11.41435888032186,1.0564926612844832,0.5821278810838472,0.4416495376807077,Transport,1
bizitobs_application/10S/long,stepfunction,57772054.25293403,51156477.12519097,3801.50650390625,14.732539282980637,0.21429026285807293,0.19653130425347223,106.54735847474167,7600.793001584376,0.29313222779636483,0.14660892228483602,0.1255048021392162,Web/CloudOps,2
m_dense/H/medium,stepfunction,298487.5547916667,334630.44085720484,334.2290745035807,2.6490090491454663,1.8988626844400678,0.6563783801926507,14.424843465255092,546.3401456891729,0.9505628645156257,0.5815163849322564,0.42496541311548053,Transport,1
sz_taxi/15T/medium,stepfunction,105.12599977020524,50.38278241279798,5.390688196818034,1.0900306699233977,14092095940095.582,0.6103039833215567,15.08941489418487,10.253097081867763,0.9542218003805295,0.5016935034736577,0.3905738268556219,Transport,1
solar/D/short,stepfunction,145323.5579930809,124681.01143172142,260.8717568798947,1.0179927703705314,1.0305396930434698,0.44397912965203723,10.041918470145518,381.213271008606,0.550723354068538,0.37687084856865977,0.29802981592912503,Energy,1
us_births/D/short,stepfunction,2756816.9133333336,1562448.6133333333,1087.4089908854166,1.6017896281859865,0.10793307900428772,0.1044764538606008,18.33840268020724,1660.3664997021995,0.15564588625005268,0.10193576908049679,0.07983649000900395,Healthcare,1
ett1/15T/long,stepfunction,29.7668457555014,29.9956231395782,3.2941215381925066,1.9635634466257827,1.0242057846858987,0.7356802510458326,12.807212715914437,5.455900086649443,1.039899896509484,0.6278627893202018,0.48218235418455,Energy,7
solar/H/medium,stepfunction,3409.5954557172863,3540.729138629106,45.830767781427014,3.5232172531594457,13.018438911674268,1.5832129318348682,17.59081193874234,58.39174133143562,2.1034068089056537,1.6509312243601375,1.1519857865555179,Energy,1
saugeen/D/short,stepfunction,2658.1703515625,1831.7669296264648,24.859482714335122,5.517393058353039,1.1270177857081096,0.5661618407567343,73.77748269495841,51.55744710090386,1.6699579711943895,0.8052045563335367,0.6788032286763341,Nature,1
sz_taxi/H/short,stepfunction,18.38904375398261,11.248490148120457,2.4333306678339968,0.748578232156531,1.3883970335890086,0.35949454859344876,10.666920420795403,4.288244833726569,0.3994764708995806,0.22667976885855806,0.18557931164572286,Transport,1
bizitobs_l2c/5T/medium,stepfunction,139.8657545595753,143.8748190042924,8.36134521328673,0.7998584554108606,0.5619807393219326,0.8449086249280138,7.08865479331315,11.826485300357637,0.6222470604685354,0.43992972961907734,0.354313288787485,Web/CloudOps,7
m4_hourly/H/short,stepfunction,86330863.33433129,95607968.76562707,1430.3381089830168,12.562322798609749,0.7486121923739207,0.37721255084502714,72.49582547989398,9291.440326145957,1.2684868347767726,0.19527274532656347,0.15160527715282435,Econ/Fin,1
jena_weather/H/short,stepfunction,5560.447469044091,3957.9209472538428,20.73916965813398,0.865721609015592,19.392897298034672,0.6762742146973342,10.483003760939788,74.5684079824968,0.4570995702634359,0.12712978317277085,0.10535889185731047,Nature,21
m_dense/D/short,stepfunction,23506.398530273436,20669.598464988427,87.0357969156901,1.2215303744746748,0.2182383892534396,0.17842731140278004,12.148955081169559,153.31796545178076,0.26541607716495713,0.1506718388951856,0.11926757644229007,Transport,1
ett1/D/short,stepfunction,46697.36895151289,43034.70643988715,135.68046875,1.6019435685426546,1.2568802019906422,0.48256071597810773,15.545557952417642,216.09574024379307,0.5675826510946075,0.35636926515998735,0.2885822781388422,Energy,7
jena_weather/10T/medium,stepfunction,5631.737850884128,4691.166517080537,24.94658358270977,0.8540876947088504,4.11238928341608,0.6919963361434692,36.080550091741486,75.04490556249723,0.4605493096455025,0.1530967593458118,0.11224293457649862,Nature,21
kdd_cup_2018/H/medium,stepfunction,4974.275346585738,5143.177211787069,28.346015303066487,1.2408264603188137,1.4667842839360894,0.6177217905202714,10.471477444004506,70.52854277940058,1.4762901331446758,0.5933334371698853,0.4668807543599369,Nature,1
restaurant/D/short,stepfunction,353.31271503783745,209.2067006813597,9.271254408356187,0.8701519278032938,0.8608010765149434,0.4815137413599761,12.356639177093296,18.796614456806775,0.8650637486203627,0.4266846091531829,0.3443536214104006,Sales,1
loop_seattle/D/short,stepfunction,48.99569643392651,29.63058641038074,4.304136347893714,1.2599968565009292,0.07982065419140738,0.07854997125541709,13.865480580715328,6.9996925956735065,0.1250938568230714,0.07692066597084425,0.061027141283106344,Transport,1
solar/H/long,stepfunction,3650.769685852595,3926.8533381329835,48.32380855711901,3.7135947078204445,18.664531168242092,1.5791439443125728,17.54605178094282,60.42159949763491,2.094927241461089,1.675474727566948,1.1558092940241829,Energy,1
bizitobs_service/10S/short,stepfunction,30438.45018513991,27725.093673130028,49.29076833998085,2.1484966245420063,0.40433089543201156,0.10199028109210884,30.057605400091678,174.4661863661263,0.1292501312734395,0.036516177783250725,0.03164717672930446,Web/CloudOps,2
us_births/W/short,stepfunction,5855155.200892857,6947338.821428572,1947.4854910714287,1.7705806309448877,0.026332344859838486,0.026409726523395096,14.880078403796231,2419.7427964337153,0.03284777119509753,0.026436924581723333,0.021239953768738884,Healthcare,1
ett1/15T/short,stepfunction,13.466185485607102,13.886777292404856,2.202166393966902,1.608778743217598,0.8311989804582272,0.46470658458059744,10.87710302874684,3.6696301565153813,0.6937128194785563,0.4163010965580127,0.3296337200680673,Energy,7
loop_seattle/H/long,stepfunction,224.2933047205056,221.24810313148353,11.138066053046039,2.2346275348674163,0.2994247873214089,0.23674538014555946,15.355389968325982,14.97642496460706,0.2676487203906409,0.1990521191652379,0.15013456523198626,Transport,1
kdd_cup_2018/H/long,stepfunction,3915.2611497279863,3998.7182666548965,26.93869055852142,1.1960360526866967,1.6807387992252854,0.656649468519644,9.414165087247179,62.57204767088885,1.4681930858789076,0.6320905371146011,0.48984734288318954,Nature,1
ett2/H/long,stepfunction,616.0009477564897,653.0588680852658,16.97919689360119,1.9299656972899997,0.3100879370652362,0.3589278367461351,14.77566495544059,24.81936638507296,0.339882124006151,0.2325170358735106,0.18364541451508662,Energy,7
saugeen/M/short,stepfunction,1043.6405668712798,983.8656935918899,21.49170612153553,1.2584266715144448,0.8939612706502279,0.6224245798020136,15.05024217343001,32.3054262759568,0.9699057486999133,0.6452454500549399,0.5167602210519625,Nature,1
ett2/15T/medium,stepfunction,17.417149461110434,18.21113165688893,2.880405096629309,1.2214019450017999,0.18800755996687188,0.221763862768809,9.459005684974505,4.1733858509740545,0.2224072745760405,0.15350199336750567,0.12274181835982276,Energy,7
ett2/15T/short,stepfunction,14.843425920747576,15.108482638569106,2.661939196785291,1.1339697849689845,0.15401263621302078,0.18241176615868296,9.718756791697706,3.8527166935485377,0.18290217185206498,0.12637172653921155,0.10252257295812668,Energy,7
ett2/H/short,stepfunction,259.42681748980567,258.59753105072747,9.949658402942475,1.1405089886258442,0.17629262835635817,0.16432269031093233,8.67695838730186,16.1067320549454,0.20427816835168275,0.12618934662503192,0.10235809023111418,Energy,7
ett1/W/short,stepfunction,1788706.156529018,1712580.0859375,984.3121893746512,1.8623912326524856,0.6345282947378499,0.6377316276941981,23.408872698915058,1337.4251966106433,0.532193416292736,0.39168132026331326,0.31932433711961916,Energy,7
jena_weather/D/short,stepfunction,2446.1223511638295,657.9245510398036,13.66833821603703,1.4623003017063492,1.437801193036202,0.5036166739605722,18.285490866206352,49.45828900360211,0.2978197318723588,0.08230573488590333,0.06590815697743407,Nature,21
saugeen/W/short,stepfunction,1768.3462684631347,1887.3709440231323,26.226010823249815,2.1261940875380767,1.00214833766222,0.6104501530528068,20.090947051524157,42.05170945946353,1.2693658134412187,0.7916539420130724,0.6536677603293225,Nature,1
bizitobs_service/10S/medium,stepfunction,197076.96127635482,184642.4960609919,141.9395363581098,5.843946428727689,1.3822117844483583,0.21834349427881966,35.1989803402228,443.9335099723323,0.3341148007626757,0.1068270334302812,0.0935972548704022,Web/CloudOps,2
ett2/15T/long,stepfunction,19.517439167083257,19.711731152610174,2.977364454118032,1.2523283953850783,0.19124330271424111,0.22553506525736006,9.901182118821525,4.417854588721007,0.23543545212757766,0.15866913053079776,0.12711939169596487,Energy,7
kdd_cup_2018/D/short,stepfunction,2867.435808085406,2671.6159452863003,20.95333571566872,1.2603626734666686,0.6361800311798983,0.46870390098536774,15.018903847396102,53.54844356361262,1.1995419927461117,0.4693769679634709,0.3899245452869693,Nature,1
loop_seattle/H/medium,stepfunction,222.3050682847345,214.626840554819,11.00197465343495,2.186966532939569,0.28615625198657546,0.2311126120257796,14.221052787346013,14.90989833247479,0.2635307878796552,0.19445867329200395,0.14671157614351457,Transport,1
bizitobs_application/10S/short,stepfunction,7897847.74109965,7097991.147118005,1212.345930864546,3.4096480158779285,0.05006431120965216,0.05034749724798732,46.812908195320595,2810.3109687541073,0.10838246709285647,0.04675533932650067,0.038179574773362535,Web/CloudOps,2
bizitobs_l2c/5T/short,stepfunction,31.15700455698229,32.883137964718934,3.248886291044099,0.3349760185848677,0.1840392030990002,0.22992600733414292,4.138918708918685,5.581845981123296,0.19170317873894657,0.11157990232278013,0.09296483491856188,Web/CloudOps,7
ett1/15T/medium,stepfunction,27.206450950985865,27.694527909717863,3.0604243172539607,1.836745696175019,1.0032301525294267,0.6912063865812998,11.691591138692239,5.215980344190904,0.9941709540697948,0.5833198675166273,0.45025826905052696,Energy,7
covid_deaths/D/short,stepfunction,3097476.7166611147,2536622.5766036958,259.8765774149787,48.86093586640506,0.14385216963677855,0.4225558495427071,1111.3418687732503,1759.964975975691,0.6621953559630671,0.09777982234696035,0.08897348687827399,Healthcare,1
jena_weather/H/long,stepfunction,18582.08433913642,14250.584300690038,49.65110132782547,2.3543061624154826,70.27606473251468,0.8025671107586099,21.214589597556444,136.3161191464033,0.820774108898641,0.2989546555709537,0.22847357714266833,Nature,21
m4_weekly/W/short,stepfunction,630455.7733606535,656165.974677093,388.1049075129713,3.278549947051448,0.09656204437533282,0.10214298879095132,44.356209035741436,794.0124516408125,0.14465675512456366,0.07070669540852777,0.05804747800726852,Econ/Fin,1
bitbrains_rnd/5T/medium,stepfunction,9290916387.925447,3717245.2130357106,304.0931404040716,5.902363690038195,6.95163699430384,0.802329792931332,11478.524305375278,96389.39976950499,405.5593403145739,1.2794748562743927,0.9474422925270355,Web/CloudOps,2
solar/10T/long,stepfunction,100.67621783699722,114.88006888031477,7.842819463075513,3.437363282772678,4.7671344889296465,1.672385549204542,16.251947608486425,10.03375392547561,2.1686354134372023,1.6950999750588258,1.1183805939798406,Energy,1
electricity/W/short,stepfunction,563308212073.0881,602520624689.8083,72154.48575919212,2.265690910526601,0.2918393931732215,0.13811502074109608,29.807930241191606,750538.6146449016,1.7124814684686545,0.16463272817476918,0.14086372024177007,Energy,1
hospital/M/short,stepfunction,5712.717236825147,5560.373198289138,22.770884474481203,0.865580802193641,0.2145155468378467,0.19171552228272246,9.908056968858771,75.5825193865959,0.27438209670531133,0.08266359836439383,0.0690925530141665,Healthcare,1
bizitobs_service/10S/long,stepfunction,290106.77432211005,284121.808527324,187.7509899943578,6.703486727421659,0.8532041109335087,0.25084631150534265,43.993068633855565,538.6156090591045,0.39902367189135385,0.13909193897974192,0.1190681915190634,Web/CloudOps,2
bitbrains_rnd/H/short,stepfunction,2951926.7527053915,3660550.0214302014,261.0914953633419,6.530786380386408,4.744061644487259,0.6321970749548378,258.75734086569855,1718.117211573585,7.51932161250763,1.1426641388042629,0.9146339289281289,Web/CloudOps,2
hierarchical_sales/W/short,stepfunction,1319.1954929775607,826.5644886352248,13.823060481730154,0.9768776253129361,1.189288416471629,0.5804083218829612,11.041909438865693,36.32073089817385,1.66750252132606,0.6346234680780218,0.5097338545944583,Sales,1
electricity/H/long,stepfunction,79671425.16366914,92441345.53218152,992.2174658445439,3.7876230456115296,0.7953965977990505,0.3730392478862802,21.606541293591416,8925.885119340779,3.5203665473807217,0.3913302857682286,0.28576081891440513,Energy,1
us_births/M/short,stepfunction,291736266.6666667,258785994.66666666,12973.41015625,1.4691149358975675,0.04010060181220373,0.04038399582107862,14.158048067302,17080.288834404022,0.05305126066772079,0.04029532349371949,0.03301936262848584,Healthcare,1
bizitobs_l2c/H/long,stepfunction,250.653080047123,261.01885773189485,12.672972760881697,1.3014758217932512,2.083709018526757,0.9259451729910714,7.7643279383750645,15.83202703532062,0.9670659454215047,0.7741017847532271,0.5888906418652715,Web/CloudOps,7
car_parts/M/short,stepfunction,29.775811131980035,7.136003082018353,0.832484688318081,1.4553297540043857,0.6862162288638836,1.7597571282775117,27.08450671627964,5.456721646921348,13.084658756411912,1.996212885941445,1.619226129902417,Sales,1
ett1/H/short,stepfunction,303.84903590906237,356.74928192467917,10.321614658264886,1.7848050724376574,0.9013891307371004,0.5225693248567127,11.487841260526881,17.43126604435439,0.8135885006393657,0.48175198362684685,0.36841281048698904,Energy,7
bizitobs_l2c/5T/long,stepfunction,325.60523107135106,330.0028297061012,12.74920169406467,1.2216122691387337,0.9995364011254794,0.9853595403640989,12.4987254810446,18.04453465931862,1.0131736477998023,0.7158486173673756,0.6002382611462249,Web/CloudOps,7
hierarchical_sales/D/short,stepfunction,53.21143292667157,47.464200503888236,2.963085608109801,0.9826213832604935,0.9836395518536908,1.0074606477154735,12.781607306258584,7.294616708688097,2.237907623218621,0.9090418503744637,0.7578925539591941,Sales,1
m_dense/H/short,stepfunction,284025.1454692247,320676.6638340929,324.2002082273695,2.550467563627949,1.4849796387600804,0.6546762995256318,14.343470551535404,532.9400955728746,0.9453030196441925,0.5750504387874525,0.42284401231838886,Transport,1
m_dense/H/long,stepfunction,300711.06576774694,332231.66195408953,332.67623375409914,2.6386463406284593,1.8763068664582907,0.6522300786147883,14.948761020598896,548.3712845944315,0.949311807083652,0.5759117691081491,0.423869610472068,Transport,1
ett2/W/short,stepfunction,5432775.825892857,4637098.566964285,1521.3005534580775,0.9774564327737018,0.15956553311220237,0.17031095097107546,12.121774011090926,2330.831573900795,0.19552101405928957,0.12761377966203136,0.10785437026060941,Energy,7
