dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,timesynth,246.71798560732887,241.8028064546131,11.456690179734004,1.1219223044929558,1.3897225429578863,0.9642800558181036,13.456964814100816,15.707259010003268,0.9510984140272399,0.6937200088829628,0.5866492219084615,Web/CloudOps,7
ett2/D/short,timesynth,640118.9859375,592263.5648313492,594.8134474981399,5.778071070850728,1.0822761545105586,0.6185217923588223,86.49091651349082,800.0743627548004,0.45790364044620513,0.34042740984468794,0.2951674361083229,Energy,7
ett2/H/medium,timesynth,438.22557358514695,532.3324921925863,15.24362406049456,1.7062554672655212,0.26033149965088975,0.282078960112163,15.19022851823453,20.933838004177517,0.28209690567541024,0.20541761992648516,0.1617458879074885,Energy,7
ett1/H/medium,timesynth,469.96742594582696,458.7900640760149,12.575388381594703,2.0685266046720465,5600990349646.037,0.6755538673627944,21.679185501914347,21.6787321111228,1.0383599272039887,0.6023313216631774,0.4976338160954753,Energy,7
bizitobs_l2c/H/short,timesynth,226.26494385704163,229.3943158104306,11.566712171312362,1.132587158499816,1.3976008143070504,0.8745013286196996,14.021259269174584,15.042105698905377,0.8108080869108916,0.6234754598322741,0.5237175983108199,Web/CloudOps,7
bizitobs_application/10S/medium,timesynth,23183215.559635416,24129929.021321613,2832.6506595865885,11.4572597558043,0.16705497741699218,0.16016902605692546,113.23097688668088,4814.895176391217,0.18906676702495556,0.11122985707874716,0.0876810173406297,Web/CloudOps,2
solar/W/short,timesynth,1460203.8009808394,1442059.214359033,942.8057821232037,1.032569647175745,0.21083779339372677,0.18466441947830856,8.05091326640652,1208.388927862565,0.24666238044436875,0.19245022289849523,0.14987497465735428,Energy,1
sz_taxi/15T/long,timesynth,43.90518169348736,46.46925247061966,5.179953684358515,1.005108301240357,11000596643803.629,0.6328362884684505,7.062847916945067,6.62609852730001,0.6132998393023179,0.47944725680151173,0.3677039817319041,Transport,1
bizitobs_application/10S/long,timesynth,22241390.849678818,25280632.78502604,3025.378976779514,11.921030216512628,0.17293219248453776,0.1664789326985677,114.9161085594938,4716.0779096277465,0.18188028852018967,0.11667678348914458,0.08913905713658903,Web/CloudOps,2
sz_taxi/15T/medium,timesynth,58.201738667284324,35.80217153109037,4.510165509607038,0.9003443146696144,12715578882311.426,0.6106873901481302,6.928542703287928,7.6290064010514715,0.7100063683196683,0.4197461721300126,0.3253336135469999,Transport,1
m_dense/H/medium,timesynth,266677.90530273435,269154.53797417536,296.8833446926541,2.390261705306798,1.7646413607328546,0.6127810419930352,19.021562345037704,516.4086611422531,0.8984858609957118,0.5165395308851852,0.4116250733099121,Transport,1
ett1/15T/long,timesynth,32.57812382289342,30.45362127985273,3.143589024316697,1.8805165517182563,1.0802494242389495,0.6611241110544356,22.186846560988094,5.707724925300221,1.087897957231355,0.5991711448408945,0.5064999377606595,Energy,7
us_births/D/short,timesynth,1137130.81,1179253.1733333333,875.8605826822917,1.2890944880521937,0.08141530652840932,0.0835214893023173,11.453730490355955,1066.363357397468,0.09996291171646716,0.08210482242777344,0.06599930889391675,Healthcare,1
sz_taxi/H/short,timesynth,32.464784836157776,31.60427923233081,4.303441736942682,1.3345520082074838,3.005129468937715,0.5305004628677653,13.225191703197426,5.697787714206083,0.5307840891230154,0.40089215622091046,0.32567877028514125,Transport,1
solar/D/short,timesynth,212931.97232550182,225936.22646745743,341.3788276022658,1.3310183944477416,1.3768458368714418,0.5066213484808186,13.792845762570058,461.4455247648435,0.6666316375766315,0.4931761490036394,0.40204150262700233,Energy,1
