dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,tsi,227.89672154017856,223.18418666294642,10.399918474469866,1.0395636512817326,0.9818571179359263,1.1515500477382115,8.664377068834654,15.096248591626283,0.9141008042276961,0.6297308754367338,0.5235398641875714,Web/CloudOps,7
ett2/D/short,tsi,278608.8732142857,334113.45793650794,421.78170107886905,4.1072801914404,0.5501729132637145,0.45781856340075294,30.18046312691043,527.8341341882748,0.30209338387543727,0.24139678183488752,0.18560329241609572,Energy,7
ett2/H/medium,tsi,488.86040462312246,525.3103126344226,15.1261415209089,1.6626151199150978,0.26543874460508454,0.2737187907809303,12.10212402890607,22.1101878016249,0.2979489743589254,0.20383446728713686,0.16337676559964026,Energy,7
ett1/H/medium,tsi,348.308483564286,357.90379623231433,11.587323615664527,1.9087893752361327,4594658956302.801,0.6410140701702662,14.943412584663502,18.663024502054483,0.8939146747155345,0.5550053593714211,0.4442259695170352,Energy,7
bizitobs_l2c/H/short,tsi,202.5975620330326,206.07217928341456,10.037707058210222,1.0304581141021205,1.2378502235138158,0.9096499234437943,9.487034523437604,14.233677038384446,0.7672317081271279,0.5410581616529685,0.4452304593954702,Web/CloudOps,7
bizitobs_application/10S/medium,tsi,35697921.66252604,36074573.57720703,3426.893118286133,12.759601726044604,0.18288565317789712,0.17960048993428548,109.9819364722695,5974.773775008225,0.23461178695752152,0.13456401003106364,0.1069394189502841,Web/CloudOps,2
solar/W/short,tsi,1131611.365790374,1185210.9145187044,846.918452130617,0.9237532676529803,0.18377234498514747,0.16720632153705958,5.743084066461178,1063.77223398168,0.21714249893755086,0.17287722241407158,0.12901571255459515,Energy,1
sz_taxi/15T/long,tsi,39.574282265252876,44.28020160816334,4.896686378978936,0.9418601720339912,8764670548964.585,0.5835990711494728,6.889319204122092,6.2908093489830765,0.5822660720961167,0.4532285411948655,0.3441304954197716,Transport,1
bizitobs_application/10S/long,tsi,21941036.365390625,24096839.130928818,2952.346669921875,12.883334188378788,0.18866785685221354,0.17478001912434896,96.50412829877655,4684.125998026806,0.18064803090865048,0.11386021911147702,0.08743435519598981,Web/CloudOps,2
sz_taxi/15T/medium,tsi,29.931035759102585,32.1967866245498,4.037441380818685,0.8072187677334859,13531917718118.688,0.533206580642961,6.197677485625154,5.470926407757884,0.509161008120399,0.3757513025160825,0.29225412730353234,Transport,1
m_dense/H/medium,tsi,183390.65680555557,185567.72645399306,242.6326624891493,1.9224092189693656,1.1872198944697854,0.5273115391201443,15.600843243453191,428.24135345101314,0.745085878920632,0.422150194344229,0.3357876428650186,Transport,1
sz_taxi/H/short,tsi,17.6640228466091,18.12975313928392,3.0787436506177626,0.9508587764256308,2.0553691843763375,0.428201019222665,7.074602565641212,4.202858889685579,0.3915222432580861,0.2868039713311985,0.22247124708366586,Transport,1
solar/D/short,tsi,121245.92028968978,119977.66409291362,284.13025010751693,1.1098521059034543,0.8342972577923405,0.4994146490909177,5.895717998159295,348.2038487577209,0.5030359803058819,0.4104714505807742,0.31895587436305856,Energy,1
us_births/D/short,tsi,1694976.1,1703979.7533333334,1179.0782291666667,1.736883611644629,0.1139388366540273,0.11335248788197835,8.309651524298033,1301.9124778570947,0.12204373038869086,0.11052901631640011,0.0835925813779465,Healthcare,1
