dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,real_reference,258.4948425292969,271.7210606166295,12.231321353004093,1.1835971797942078,1.3879280438913824,1.0175247918991817,8.841944086179064,16.077774800304205,0.9735337084540298,0.7406251041566855,0.5786513794011713,Web/CloudOps,7
ett2/D/short,real_reference,184017.2972718254,154820.78814484127,241.8175495450459,1.7037896665088688,0.559009579817454,0.18064033379630437,21.11408476344108,428.97237355315247,0.24551219317227066,0.13839855570324325,0.11220039531294297,Energy,7
ett2/H/medium,real_reference,490.03815113249277,560.2227968488421,15.477999196733748,1.761085664769903,0.2659626977015498,0.2870917675041017,12.622663751656269,22.136805350648334,0.2983076629192685,0.20857597534545483,0.16054804663166386,Energy,7
bizitobs_l2c/H/short,real_reference,226.6528246828488,250.96926329249428,11.433335393194168,1.0993822680907077,1.2507686351986527,0.9017752740118239,7.525697453127531,15.054993347153921,0.8115027642140794,0.6162861093205156,0.47978259860268224,Web/CloudOps,7
ett1/H/medium,real_reference,381.15990987505234,370.3761553628104,10.625245403108142,1.8232209158048778,10380145076084.344,0.5957805190767561,16.854488283227482,19.52331708176283,0.9351206518852863,0.508924091443301,0.41520840362336653,Energy,7
bizitobs_application/10S/medium,real_reference,31151145.08495768,30339030.859651692,2762.8374190266927,10.183991212217773,0.14419139862060548,0.14162001291910808,151.49574574894723,5581.321087785372,0.2191620575604507,0.10848849652890276,0.10310665307924802,Web/CloudOps,2
sz_taxi/15T/long,real_reference,5447.961137637929,45.34127435059289,5.046126808536019,0.9772375483512529,9175433542829.92,0.576909418866845,10.232121416526496,73.81030509107742,6.831749945266584,0.4670604803148493,0.35593347899983097,Transport,1
solar/W/short,real_reference,4891372.569229014,5344750.172445255,1952.634376247434,2.1589301210737704,0.4455577929089539,0.34644538262029634,27.319951944424428,2211.6447656052305,0.45145197047316826,0.39858147677225014,0.32999928781457943,Energy,1
bizitobs_application/10S/long,real_reference,30281778.650217015,28481544.528628472,2958.8470632595486,9.815217560110115,0.13795750088161893,0.13815209706624348,135.9083785278969,5502.888209860074,0.21222441920657364,0.11411091331933504,0.10662736053128402,Web/CloudOps,2
sz_taxi/15T/medium,real_reference,52.826671809009,32.627448654174806,4.176602183855497,0.8281903567983411,11166463562118.299,0.5228743482858706,8.054546923921176,7.268195911573174,0.6764269306027436,0.38870253773368535,0.30132062081055827,Transport,1
