dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,fbm,267.70000842866443,244.6613025483631,12.188851202101935,1.1953683609380206,1.5871909637511794,0.9355553763253348,12.836228919056639,16.361540527366746,0.9907161546588443,0.7380534719488754,0.6234493008821331,Web/CloudOps,7
ett2/D/short,fbm,154544.4316220238,163059.4708829365,265.8150654141865,2.0826219651430646,0.5111522099328419,0.22738300505138578,23.102866595646653,393.1213955281801,0.22499373374474008,0.15213296639015678,0.13373642697090016,Energy,7
ett1/H/medium,fbm,549.4641008513314,469.21438114529565,12.53675524166652,2.1115675390563236,8488985218567.879,0.6597814134189061,25.62963522261148,23.44065060640023,1.1227516504430504,0.6004808857540171,0.5147468689436778,Energy,7
ett2/H/medium,fbm,492.56082959856303,654.4330301193963,16.29973449707031,1.7917446013224867,0.27508038263142554,0.2825264397121611,15.762202165388663,22.19371148768414,0.29907450964697024,0.21964938603407005,0.17784285837622207,Energy,7
bizitobs_l2c/H/short,fbm,302.6934213184175,317.7671267418634,12.2525154333266,1.225042322081408,1.5320766409524054,0.9959520886814783,10.017759595220877,17.398086714303314,0.9378015077876104,0.6604420150474445,0.5261774848284078,Web/CloudOps,7
bizitobs_application/10S/medium,fbm,30626248.18248047,28342785.51997396,2790.3750282796223,10.136406848428091,0.1422497876485189,0.14518701553344726,115.73154774695477,5534.09867841914,0.2173077724840528,0.1095698174221543,0.09430010150047492,Web/CloudOps,2
solar/W/short,fbm,3042492.4695483577,3166496.0991104012,1434.0078214102418,1.571736461442375,0.3300383889327084,0.26818884321807945,18.569109910911074,1744.2741956321997,0.3560499565345725,0.29271683532433274,0.24559271730557583,Energy,1
sz_taxi/15T/long,fbm,51.738258024905825,62.07596760285206,5.844101406434323,1.130824630408675,8991797879827.246,0.6453817794805239,8.662504654221145,7.192931114984059,0.665764850727314,0.5409195831703241,0.41759934579002134,Transport,1
bizitobs_application/10S/long,fbm,22032103.921979167,24868038.385260418,2979.167976888021,11.085890427203942,0.15498057047526043,0.1571243625217014,117.873563221511,4693.836801805019,0.18102253782452193,0.11489460979436467,0.08753414935198539,Web/CloudOps,2
sz_taxi/15T/medium,fbm,39.37539690457857,44.81946400047367,4.963078282837175,0.9985833798213782,12091562464410.3,0.598379911418654,7.414593653429595,6.274981825039701,0.5839917838126747,0.46189726447178836,0.3535248364720546,Transport,1
m_dense/H/medium,fbm,348220.4478309462,303396.5084233941,320.82746663411456,2.5383035074328433,2.0384513568432934,0.6276231961780124,27.27149406703795,590.1020656047106,1.0267030791417047,0.5581992795245156,0.47254023815783636,Transport,1
solar/D/short,fbm,134775.35671951034,143649.53841240876,265.71417239298205,1.0361168302608648,1.126914586463984,0.43983157539599715,7.465737748984567,367.11763335409313,0.5303599579404612,0.383866489895902,0.3074481751742398,Energy,1
ett1/15T/long,fbm,33.4552396603993,33.418061054850384,3.2452551965864878,1.9746281971692656,1.2138670930028372,0.6746686080145458,19.689656928229287,5.784050454517085,1.1024456778041472,0.618548816781877,0.5317629405699679,Energy,7
us_births/D/short,fbm,1712219.03,1719860.06,1177.073349609375,1.7335148987426623,0.11345073223114013,0.11300259709358215,8.17987781256527,1308.517875307785,0.12266293279998434,0.11034107512656326,0.08290714508521178,Healthcare,1
sz_taxi/H/short,fbm,12.107033076958778,14.118365390178484,2.7895240223305855,0.8539991386491813,1.5018070191622546,0.4269364114659719,7.346079947803102,3.4795162130616344,0.324138408865944,0.2598613780551876,0.21304813804851308,Transport,1
saugeen/D/short,fbm,1335.6453930664063,1476.9297705078125,24.584241892496745,5.455515302187985,1.2615545288721721,0.7730053154627482,65.269443211009,36.54648263604045,1.183749262792788,0.7962894406660072,0.7019789333018474,Nature,1
m4_hourly/H/short,fbm,89651658.15700412,98831506.93426295,1514.0306497368836,12.859280948515396,0.8790467103490315,0.45606801964810506,114.09396926619972,9468.455954219997,1.2926533779476739,0.20669862574862868,0.18513818766446577,Econ/Fin,1
solar/H/medium,fbm,3881.9343741683774,3047.815414064876,46.24054894737374,3.5453026300389237,14.832031369142165,1.5375293392914635,32.47186999408516,62.30517132765448,2.2443776913032107,1.6656924983855381,1.4313061009841757,Energy,1
bizitobs_l2c/5T/medium,fbm,149.56980656215123,150.35215633677788,8.423631136109229,0.8056191375816655,0.646741301401602,0.8145785904255043,7.723316726927416,12.229873530096345,0.643471214036369,0.44320688520677315,0.3710181594727945,Web/CloudOps,7
m_dense/D/short,fbm,21288.74598470052,21922.23080078125,91.41760301378038,1.245918409294941,0.21102016276125557,0.1823823897043864,8.263029107983384,145.9066344780131,0.25258596695685365,0.15825739341272435,0.11964596139878525,Transport,1
jena_weather/10T/medium,fbm,3945.841912326252,4310.092743776277,24.71871997763283,0.9429334727503875,3.5202427179765303,0.7105803867116635,9.87758079984305,62.81593677026756,0.38550033606464545,0.15169836427522138,0.13979867313722363,Nature,21
ett1/D/short,fbm,46344.67801804315,49890.84459325397,146.62705417209202,1.804164746275697,1.2597582597581167,0.48870262304941814,14.069147716083696,215.27814105952132,0.5654351996362019,0.3851208359558537,0.3107119999038036,Energy,7
jena_weather/H/short,fbm,7273.716280271523,10292.914188155419,34.59501002389088,1.1927364861156384,33.382935111757675,0.7513209072201541,14.029462030107613,85.28608491583796,0.5227982441791044,0.21206519815860356,0.21123001316837503,Nature,21
kdd_cup_2018/H/medium,fbm,5381.741244260197,5587.481290886468,29.82592429766073,1.289046040875069,1.40500556288785,0.6620350303616759,14.544549719561653,73.36035199111436,1.5355650285764055,0.6243106126590356,0.5389774469469696,Nature,1
restaurant/D/short,fbm,197.80719084525694,198.93070320670228,9.148347597813823,0.8549187858687575,0.9374041239888191,0.47190205220516135,6.351067488150317,14.064394435782045,0.6472760188091811,0.4210281529598045,0.3306224111944402,Sales,1
bizitobs_service/10S/short,fbm,40685.50249982752,42806.27897418458,61.12713797542941,2.604743887093205,0.648573400542364,0.15472535206543717,30.254088253633086,201.70647609788713,0.1494306092049512,0.04528493900310227,0.03963265742564882,Web/CloudOps,2
loop_seattle/D/short,fbm,32.138967117904016,33.708569220394295,4.658766964616175,1.3558626478364346,0.08807722234596778,0.08480383453754202,8.60370537639708,5.669124016804009,0.10131481895485724,0.08325838880466944,0.06308672944563515,Transport,1
ett1/15T/short,fbm,17.68428882406581,18.36465016596374,2.525842977705456,1.7743370680575445,0.8700267600473582,0.5195249162614346,13.654245312395224,4.205269173794444,0.7949708855644934,0.47748944141227384,0.3811268032519235,Energy,7
us_births/W/short,fbm,5807008.145089285,6258647.334821428,1766.04052734375,1.604611465539821,0.02386552474594542,0.023745920874976685,10.645510646400625,2409.773463437857,0.03271243847721598,0.023973826990601806,0.019970669872676716,Healthcare,1
kdd_cup_2018/H/long,fbm,4470.676157026099,4612.800255331444,29.14971303132151,1.2536777118884699,1.5407878344475834,0.7359767120867508,14.682597192426242,66.86311507121171,1.568878866873821,0.6839700588518808,0.6125019870118753,Nature,1
loop_seattle/H/long,fbm,184.11237538865558,158.46323406533108,8.072592839942095,1.6388716237427243,0.2853564254475657,0.1682217384311478,24.97831618976055,13.568801545776088,0.24249260952090013,0.1442680178314398,0.1253139706214238,Transport,1
ett2/15T/medium,fbm,19.84177059718541,20.343027556283133,2.926603772602384,1.2244151149974307,0.18736127406991174,0.21438389933298505,10.563479104998233,4.454410241231201,0.23738357222939502,0.15596400430517035,0.12675732622204777,Energy,7
ett2/H/long,fbm,710.0279531004568,886.4723874369627,19.333297172425286,2.1504537315941104,0.3302264497503673,0.3684520640701213,20.388614374114244,26.646349714369073,0.3649012548272526,0.26475462769903835,0.2188417412265266,Energy,7
saugeen/M/short,fbm,911.7603759765625,887.317621140253,20.6378044855027,1.2086020525922776,0.83868256069365,0.594233546938215,14.71018348002091,30.19537010828916,0.9065555365832668,0.6196087629381105,0.5027189557276143,Nature,1
solar/H/long,fbm,4070.792165244196,3227.9859840708637,47.75059924346107,3.6596617070744815,20.25540578435662,1.5360948635327167,33.64553112999876,63.802759856014035,2.2121582482766904,1.6556005134411165,1.425050331274949,Energy,1
ett2/15T/short,fbm,15.452786023932553,15.05862933127653,2.636940850530352,1.1437258211716124,0.15546987373808757,0.1864696078002453,9.10509268151249,3.9310031828952456,0.1866187100943301,0.12518496608252014,0.10093244927627112,Energy,7
ett1/W/short,fbm,1313878.8162667411,1302977.9479631695,876.369510105678,1.5165337780755066,0.7057954743504524,0.570751682988235,9.907985367646432,1146.24553053294,0.4561184628123899,0.34872835108826794,0.2834636156055818,Energy,7
jena_weather/D/short,fbm,977.9237307021649,1192.518573670311,17.126398498387562,1.6520953627513149,1.435197293972707,0.5376868790932118,12.960224391651092,31.27177210684046,0.18830717705083633,0.1031289094606057,0.08223812164239681,Nature,21
ett2/H/short,fbm,214.596609210968,245.99039841152373,10.008768921806698,1.1692016837000858,0.18484865384194976,0.16719074242171786,9.862470639596985,14.649116328672116,0.18579154613011978,0.12693903243856067,0.10268919421599623,Energy,7
saugeen/W/short,fbm,1867.513667678833,1851.87522315979,26.305555248260497,2.131741229757226,1.0749446049332618,0.6910790130496025,24.62483837085852,43.21473900972714,1.3044728274033897,0.7940550566183117,0.6648161208642024,Nature,1
loop_seattle/H/medium,fbm,168.06219559503168,151.72290711457023,8.059048079066478,1.621264987230762,0.26975967038588133,0.16559782388040525,23.134215491411187,12.963880421965936,0.22913513864391719,0.1424427747579346,0.12195107182043698,Transport,1
bizitobs_service/10S/medium,fbm,156970.88198503,146935.24007140726,138.04875570760478,5.564287988427613,1.2961766499052811,0.2602165854460015,70.82052832643325,396.1955097991773,0.2981860590516561,0.10389874040294075,0.09213015822994597,Web/CloudOps,2
ett2/15T/long,fbm,19.74281647334023,20.633371587480816,2.962270708840991,1.25643667636059,0.1932994163142777,0.22670408945234996,11.018885926071023,4.443288925260232,0.23679089387026547,0.15786475757731233,0.12948165731673705,Energy,7
kdd_cup_2018/D/short,fbm,2645.32572510482,2629.369695314171,20.787711068982894,1.232793651625506,0.6389775630347992,0.4674114643540564,11.376329070333156,51.43273009577481,1.1521477646342322,0.4656668000199829,0.38260897441471453,Nature,1
bizitobs_application/10S/short,fbm,5258017.043350592,5427703.4326307,1029.7804586410523,4.501856077037446,0.064942437476582,0.06734540267123117,48.4203104812331,2293.0366423916107,0.08843326279543405,0.03971451839758876,0.03479358466159349,Web/CloudOps,2
bizitobs_l2c/5T/short,fbm,28.899866350527322,31.85425058432988,3.224185379913875,0.33874070876765483,0.18307757331505164,0.23653557815455964,3.3468055940534676,5.375859591779469,0.1846287725751593,0.11073157307875837,0.08992257876970701,Web/CloudOps,7
ett1/15T/medium,fbm,32.11001266464355,32.028485211379945,3.1443406922476633,1.8993935425439876,1.1034991286469704,0.6650073385238647,18.773174619921843,5.666569744090648,1.0800537343013128,0.5993144106483863,0.5134472777442901,Energy,7
covid_deaths/D/short,fbm,910987.3954231184,871861.4490832272,194.9005333246121,56.39190458466627,0.17001486742769883,0.48998604025558684,1419.3067569345144,954.4565969299591,0.3591189225825036,0.0733322707008607,0.06504477341021699,Healthcare,1
jena_weather/H/long,fbm,16180.916383231814,10808.608696082532,47.16926001565797,2.6615680196114577,60.34614733397048,0.8312577325515647,26.811937227507215,127.20423099579594,0.7659104440288494,0.2840112203838475,0.254780668237616,Nature,21
m4_weekly/W/short,fbm,496128.83429659985,516342.2096393749,370.2424108792557,3.1985542969605487,0.09726335582901482,0.10163081096988534,25.301601004725487,704.364134731887,0.12832422205203428,0.06745242553389659,0.054867765794446056,Econ/Fin,1
bitbrains_rnd/5T/medium,fbm,3072094.129847168,3371543.008673832,312.21514515550484,5.497534950466797,7.254469679329531,0.8612905801761441,170.83683714541752,1752.7390364361627,7.3746666029716526,1.3136482705388233,1.199077044069651,Web/CloudOps,2
electricity/W/short,fbm,540863766244.8723,376783495722.7306,60780.84483436378,2.186365942616404,0.29995039314036653,0.13320425710733141,27.524871435816298,735434.4064869907,1.6780186492857225,0.13868183246769045,0.12108459081550732,Energy,1
hospital/M/short,fbm,5401.961472310692,5468.433356480721,22.71306167877741,0.8506753670121069,0.21799290881551694,0.18835599589663865,8.715277905644147,73.4980372003953,0.26681494232310343,0.08245368818871658,0.06779521240785807,Healthcare,1
bizitobs_service/10S/long,fbm,211791.7448625187,207430.81693059055,154.78462734842898,5.649140460910972,1.5025186085306779,0.27670794975150514,75.3958058860515,460.2083711347706,0.3409370820242682,0.1146694030364195,0.09970650842265145,Web/CloudOps,2
solar/10T/long,fbm,138.36559382034142,148.73884475936953,8.99913057727922,3.9761569627997138,5.4587780343742685,1.686737402879602,47.18115838763593,11.762890538483363,2.5423606334785864,1.9450181263148947,1.8298001387802654,Energy,1
hierarchical_sales/W/short,fbm,594.1316898535874,637.3012754828748,13.474270814808749,0.9551099929593685,1.1491272696697876,0.5938289520977917,7.915667984661693,24.374816714256283,1.1190597579611625,0.6186103638639444,0.4856531489613887,Sales,1
bitbrains_rnd/H/short,fbm,4425494.757651063,4798683.920411259,366.5068423490913,7.4287819103586115,7.880934001113425,0.7687471412924871,233.77509594245728,2103.6859931204235,9.206759263829479,1.6040132781647636,1.4118743971191998,Web/CloudOps,2
electricity/H/long,fbm,126084246.66311266,98316123.06491488,1008.4453364593656,3.7119999838197293,0.8348016837393881,0.3685146981531435,45.81186303816887,11228.724177889162,4.428605615812086,0.3977305533141166,0.3466907766325477,Energy,1
us_births/M/short,fbm,306146656.0,264309941.33333334,13616.966145833334,1.5408216693704364,0.04183647409081459,0.04246558000644048,11.609782843450091,17497.04706514788,0.05434570889098949,0.042294204009656014,0.03368095975706992,Healthcare,1
bizitobs_l2c/H/long,fbm,257.9997326078869,234.07081899491567,11.77621309795077,1.1910606712919671,1.711722506375841,0.915655033172123,12.774869618707696,16.062370080653942,0.9811359640242759,0.7193251140645388,0.6097101868398055,Web/CloudOps,7
jena_weather/10T/short,fbm,2046.420137573004,2004.935722786837,15.816533225990595,0.4580741485657248,0.9655175361573738,0.610089469507211,3.9320825073341914,45.2373754496545,0.2809808106828083,0.09824049878791881,0.08333269015300954,Nature,21
car_parts/M/short,fbm,1.4220034858710262,1.4477811842944988,0.6942248037489537,1.2386678163731841,0.6141536896532964,1.762110251805151,17.026547387213494,1.1924778764702624,2.8594396228708714,1.6646798655044202,1.2992870767630338,Sales,1
hierarchical_sales/D/short,fbm,31.196041565919128,32.337409290650406,2.9932309335990106,0.9631695892216763,1.0346195873043669,1.0365619588065809,9.235609279291031,5.585341669577532,1.7135209702986782,0.918290102395212,0.7442989760279523,Sales,1
bizitobs_l2c/5T/long,fbm,173.06441346183655,176.63991234188987,9.508819134424604,0.9440526563777194,0.8308421756734979,0.882300056578621,9.423262371882515,13.155394842490914,0.7386557554661002,0.533905980430383,0.4629704893312965,Web/CloudOps,7
ett1/H/short,fbm,429.1686267903873,410.16787841092975,10.937539211341313,1.7902828200110141,0.9030233913234302,0.5077787263052804,17.595939510088026,20.716385466349752,0.9669184640603593,0.5104997023736856,0.4221098838627485,Energy,7
m_dense/H/long,fbm,336863.0817515432,302960.4192312886,321.05592848789547,2.5350098662823832,1.983105268820605,0.6272818167415666,26.70438536542482,580.3990711153346,1.0047566430063328,0.5557953018513303,0.46792380661577926,Transport,1
ett2/W/short,fbm,6619607.705357143,6103578.611607143,1596.5281546456474,1.038618215946018,0.18396033293434552,0.20086173393896647,10.186930705397971,2572.8598301029037,0.21582347203759905,0.13392422140914814,0.11441904179576039,Energy,7
solar/H/short,fbm,4605.95273658771,5563.388230509299,54.4443424106148,4.222353639158523,14.753360150013423,1.6844205687790708,55.43831536013123,67.86716979945244,2.501606481683212,2.0068365937144628,1.9471057416223063,Energy,1
m_dense/H/short,fbm,419449.87905375165,425378.53579305013,364.9447396426731,2.879923164184348,1.8247464901316524,0.742712484465705,32.08100660618076,647.6495032451979,1.1487689445295841,0.6473210915321519,0.5754167345641636,Transport,1
solar/10T/medium,fbm,143.33996382428333,172.77386765221635,9.566799984893764,4.185616197059098,6.2499652005776465,1.64094955741344,47.43962357254393,11.972466906376619,2.656737985722107,2.1229109356014133,1.9111758445642266,Energy,1
ett1/H/long,fbm,558.2107416708003,491.5081264193096,12.9301596908973,2.2520905904155035,9419885248265.086,0.6809475373969507,26.604684281376677,23.626483904102198,1.1314211200096689,0.6191973303669968,0.5335182442273108,Energy,7
jena_weather/10T/long,fbm,3653.3532409089094,3424.40084261862,22.33954919255166,0.9392261017255088,3.180110092586204,0.7050727941943382,9.96132143388675,60.44297511629378,0.36986091571894397,0.1366995272024292,0.12202328365369751,Nature,21
jena_weather/H/medium,fbm,10746.993092389115,7143.179336442468,37.716070153694304,2.0538451866037195,43.483217551254356,0.8116250230915962,21.97425938941113,103.66770515637508,0.6343610580293344,0.23079131665272332,0.20736675938873816,Nature,21
sz_taxi/15T/short,fbm,21.680157655652188,23.046591383160543,3.4971075890192327,0.7101430782891688,1957171103700.9915,0.5031255100954947,5.480940871343818,4.656195620423629,0.4353742179464125,0.326994526382289,0.25766421282712765,Transport,1
electricity/D/short,fbm,6321211499.434615,5454883404.066274,7600.91243984463,2.1157174256107454,0.7791268756921149,0.14848281101761637,18.11365870233112,79506.04693628412,1.3065483986500925,0.12490823477259795,0.10060443589385326,Energy,1
bitbrains_fast_storage/5T/medium,fbm,6296001.409396497,7257524.076021144,515.1033738076632,1.592187635522681,9.307711168399464,0.883733195989545,27.04474598410213,2509.18341485761,7.623592215179488,1.5650263138677867,1.4087758864640698,Web/CloudOps,2
bitbrains_rnd/5T/long,fbm,3703626.0210545715,4112358.0651505277,350.6140146858835,4.56810353318423,8.858539981808454,0.8460500963830413,127.34818861382367,1924.4807146486482,7.372252088631472,1.3431233071843898,1.1183760480212828,Web/CloudOps,2
loop_seattle/H/short,fbm,182.14045940549596,187.48433357517655,8.853223439826237,1.7452400642045218,0.29114391040100446,0.17764612981796354,22.265903923042554,13.495942331141459,0.2388919052028198,0.15671105898593987,0.13546489162194347,Transport,1
electricity/H/medium,fbm,117092060.79210506,93504401.8726905,990.9810226497767,3.6847973237361313,0.8005885231843639,0.36493882047163473,44.100331808731774,10820.908501235239,4.223757120390775,0.386812544446829,0.33544308513688476,Energy,1
bitbrains_fast_storage/H/short,fbm,3464668.653917885,3850274.8263282776,403.17790231962965,1.7504227526055074,6.588440797479778,0.7023411682416645,31.637791058964083,1861.3620426767827,5.305486473509535,1.1491879914444891,0.9989785957734539,Web/CloudOps,2
