dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/medium,waveform,1055588038792.583,5954143.887346555,506.77963370013487,2.293743763218541,8.748118366678183,0.8716597642904088,458389.3852003384,1027418.1421371646,3121.580074119669,1.539736492522251,1.1078636441861989,Web/CloudOps,2
m4_yearly/A/short,waveform,8585450.044070385,8316415.827402277,1595.1467649565498,6.453462343442108,0.2780389904615021,0.2881756903836253,82.79956712385587,2930.0938626723864,0.4698541300633367,0.2557891762854443,0.2210715009802002,Econ/Fin,1
m_dense/D/short,waveform,20858.56878083405,20657.38127947772,89.22883598045067,1.249828997361459,0.2147742913686584,0.1832692507461265,9.330172387889457,144.42495899543837,0.2500209675253932,0.1544683139131202,0.1196241776005538,Transport,1
ett1/15T/short,waveform,7.397350949075605,7.448458038261604,1.4823849526189623,0.9365459985464196,0.515414195872972,0.3215326867465462,7.643634916417901,2.719807152920149,0.5141567427824448,0.2802324488226873,0.225401797479164,Energy,7
ett1/D/short,waveform,70874.03840060763,74477.1326140873,180.2421375093006,2.2673737572721127,1.3836232499470786,0.5916028113592239,16.44491190457496,266.2217842337618,0.6992403732903997,0.4734119706898112,0.3651896133123425,Energy,7
loop_seattle/5T/short,waveform,68.71444330876088,67.85000794199598,4.877233053188698,0.7653085361628671,0.1390885946061174,0.1006138594182913,7.808123293039413,8.289417549427757,0.1421452097152322,0.0836337789768388,0.0683333417776058,Transport,1
solar/H/long,waveform,1897.7454026716468,1959.5644936368997,30.52273671690855,2.3503651255219453,13.029035273049594,1.5474011216237114,18.070063722698475,43.56311975365914,1.5104129492391951,1.058279045305632,0.8274657339739149,Energy,1
loop_seattle/H/medium,waveform,124.60520358681065,126.1927363636816,7.377190525932824,1.4822191652129284,0.2267634441239915,0.1563285099617345,15.000548337362158,11.162670092178244,0.1972989472252238,0.1303910186565782,0.1068599554541897,Transport,1
ett2/15T/medium,waveform,18.660699361770877,18.46746857476613,2.8234584741743785,1.161713012703679,0.1794245335184083,0.2094474558603196,8.840321458440785,4.319803162387249,0.2302101177218664,0.1504672049370144,0.1206304646518457,Energy,7
ett2/15T/short,waveform,12.17547830896718,12.199477918871812,2.268148705647105,0.9784621064866944,0.1394651758117181,0.1586640412874874,8.907073640825482,3.4893378037913125,0.1656512828227516,0.1076770905685799,0.0879486386088042,Energy,7
kdd_cup_2018/D/short,waveform,2958.7118330737426,2866.522933454873,22.09822065366203,1.300158961741818,0.6074930512926523,0.5046662088641858,15.21006209669846,54.39404225716032,1.2184843013253843,0.4950236061958978,0.418045382541105,Nature,1
us_births/W/short,waveform,3752031.598214286,3412637.704241072,1451.201799665179,1.3191656892073016,0.0195886972360312,0.0195547281099217,14.422618111808015,1937.016158480431,0.0262948044183649,0.0196999221336958,0.0159694204522698,Healthcare,1
solar/H/short,waveform,838.4768582916944,881.6425227124798,18.98448372180307,1.4724129780519328,8.790568060365057,1.4598403561968614,11.095361461086249,28.95646487905066,1.06734493927062,0.6997743926881,0.5491695206047145,Energy,1
kdd_cup_2018/H/short,waveform,5220.163673598933,5184.303475900996,26.486717812206063,1.134090975484602,1.0359027733907462,0.6182505066528833,12.001941969886406,72.25070015992186,1.5123380065135217,0.5544149735093892,0.4655716269758499,Nature,1
solar/10T/medium,waveform,37.796936334147176,38.57609047108165,3.937941961746199,1.727505376968137,4.348603575761042,1.5231496145598158,15.37884805535761,6.147921301883033,1.3642481690422108,0.8738449708946769,0.712317657911574,Energy,1
ett2/H/long,waveform,635.9184570958374,639.4829766167535,16.585250870639054,1.986790511762811,0.2980098182613467,0.330515342288547,13.997143109408912,25.217423680777493,0.3453332123635705,0.2271222482326514,0.1801141028363496,Energy,7
saugeen/M/short,waveform,822.9146496000744,894.68603515625,18.46161433628627,1.081050387186109,0.624346307345799,0.5312077715283349,11.728024923204012,28.686488973035274,0.8612544012666657,0.5542730104252266,0.4564443430044814,Nature,1
electricity/15T/medium,waveform,826615.5615178734,492221.3502084118,92.22905708858934,1.5142304740666268,0.2684194610234175,0.2266404564309496,14.212391823975633,909.1840086131484,1.5666155901566894,0.1589199516617475,0.1252064775956395,Energy,1
ett2/H/short,waveform,202.0885945944559,197.86906488963533,9.190917491912842,1.0367771779502633,0.1585419058248918,0.1531884987084638,7.606398073358302,14.21578680884234,0.1802957223775689,0.1165664011988657,0.0933793639521431,Energy,7
