dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,ets,1498.1476469494048,266.1628470284598,12.299807557605561,1.2015104039487388,1.531845777812438,1.0492450714111328,20.28527360917643,38.7059122996656,2.343701837363522,0.7447720479702254,0.6320565414546161,Web/CloudOps,7
ett2/H/medium,ets,470.54204130626863,527.5732020060221,14.407338596525646,1.573146021906855,0.266480324010993,0.255958749850591,16.8404001342499,21.69198103692396,0.29231336973491345,0.19414813644238268,0.15541932936102174,Energy,7
ett2/D/short,ets,154396.04346478175,154323.22116195437,245.33382306780135,1.6007882120873778,0.48524651640937444,0.15766624477174546,15.658805920162555,392.9326194970096,0.22488569224769187,0.1404110116971216,0.11476378833257894,Energy,7
bizitobs_l2c/H/short,ets,258.04953555455285,252.8764890829722,10.764967420744517,1.0299313470208444,1.2661592551558423,0.9491273538460807,15.448305963944778,16.063920304662645,0.865886515573439,0.5802593609422052,0.5004134388612511,Web/CloudOps,7
bizitobs_application/10S/medium,ets,23987770.81630534,21484178.100429688,2113.1615938313803,7.215986325719224,0.09661531925201416,0.09957086245218913,152.3282882150192,4897.731190694865,0.1923194935836596,0.08297763837227493,0.07329121191284466,Web/CloudOps,2
ett1/H/medium,ets,451.41344218027024,408.18122509093513,11.194886670793807,1.8905486812500285,6517878048236.532,0.616557236512502,19.152675109144422,21.246492467705586,1.017656671941053,0.5362085591056416,0.4392767500129152,Energy,7
solar/W/short,ets,1513030.4667541059,1591006.2718978103,1009.2920198092495,1.105676071929514,0.22885342643861353,0.1984262382679612,6.710959021328828,1230.053034122556,0.251084565965169,0.20602172564590815,0.15721781082837738,Energy,1
sz_taxi/15T/long,ets,636.3065729733546,36.04587622150736,4.10482150618507,0.787557379870661,8707603552566.446,0.571554612026595,19.215697853993408,25.225117898106138,2.3347918370894543,0.3799349435773968,0.3221583037772662,Transport,1
sz_taxi/15T/medium,ets,136.82793696232332,29.8785119358291,3.79323402510749,0.7457600014077227,14909888399782.312,0.53758573858147,13.629684760515516,11.69734743274403,1.0886333990428054,0.3530237324197253,0.29767832543882733,Transport,1
bizitobs_application/10S/long,ets,21773449.60361979,21933432.03797743,2486.1748215060766,7.284380550844152,0.09537543402777778,0.1004191631740994,98.61332894635841,4666.202910677995,0.17995680901608602,0.09588183285183441,0.0780425454495532,Web/CloudOps,2
m_dense/H/medium,ets,247596.362062717,207570.04184570312,247.2926665242513,1.9724457435362865,0.908466691049115,0.5621158507135179,21.375585329379444,497.59055664543814,0.8657447354233223,0.43025801292430654,0.350359493119888,Transport,1
ett1/15T/long,ets,74.99163283098312,51.28267192272913,3.7424578324575273,2.18464324351384,1.6138689055585296,0.6648515392485119,32.02042688641378,8.659770945641872,1.6505608180407711,0.7133161258188833,0.5773892460373722,Energy,7
us_births/D/short,ets,298754.98625,299113.66354166664,386.371923828125,0.5687917839381081,0.03678540726502737,0.036330969830354054,5.187292745562093,546.584839023184,0.05123789337827794,0.03621923263156205,0.029372555030029217,Healthcare,1
