dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,mixed_all11,127.03803478422618,127.34627133324032,7.475679524739584,0.7836103038463219,0.7306639770216823,0.8950269154139927,6.177248087542178,11.271115063924517,0.6824831534763691,0.4526637610819056,0.36223658453667135,Web/CloudOps,7
ett2/H/medium,mixed_all11,344.8414992741176,340.7100888206845,11.945262727283296,1.347996662885934,0.23128469033485904,0.22995601637022836,10.170386536286827,18.569908434726262,0.25024143719209974,0.1609700835639396,0.13016893638555935,Energy,7
bizitobs_l2c/H/short,mixed_all11,115.18605524585361,129.00172655166142,7.024308106255909,0.695623558807992,0.5972882479214839,0.7899118147435642,5.491527092820814,10.732476659459996,0.5785080255556111,0.37862822742433444,0.30166199501669794,Web/CloudOps,7
ett2/D/short,mixed_all11,210496.91983506945,151996.19758804564,232.1715628487723,1.5108540716188705,0.4801808830291506,0.1520325017353845,23.01117821749009,458.7994331241806,0.2625830053332215,0.1328779033369919,0.11147080878524476,Energy,7
bizitobs_application/10S/medium,mixed_all11,49090935.19828125,39078335.32420247,3144.5255600992837,10.281834886230264,0.14486067136128744,0.14283639589945477,79.20922056520094,7006.492360538278,0.2751243402530074,0.12347626681270935,0.10883855894710222,Web/CloudOps,2
ett1/H/medium,mixed_all11,219.4692927723839,232.50662448973884,9.21522204535348,1.6346964838108868,2222663491610.493,0.5576949522608803,11.662195489794378,14.814496035045671,0.7095792754697723,0.4413873119116763,0.3505259689013501,Energy,7
sz_taxi/15T/medium,mixed_all11,26.159057594364526,21.416783702882945,3.2907887063474734,0.6442729545879499,12198825257563.602,0.4524435525266533,6.43791446073627,5.114592612746838,0.4759982015365052,0.30626281005336714,0.24489364626514776,Transport,1
solar/W/short,mixed_all11,1958033.479698905,2103168.549156022,1135.3570928643219,1.237519653676626,0.2564848505885062,0.21750057173253845,8.223170257881632,1399.2974950663297,0.2856315902309881,0.2317547576968225,0.17770190232923058,Energy,1
bizitobs_application/10S/long,mixed_all11,39556875.39702257,24596171.568038195,2760.3069878472224,11.225393391011293,0.1628027852376302,0.14970958709716797,98.58771836127721,6289.4256810159195,0.2425580279651824,0.10645401559822329,0.0993425153304103,Web/CloudOps,2
sz_taxi/15T/long,mixed_all11,29.936707590651988,22.811681251851923,3.4206113576209782,0.6488980829749016,9178710176130.494,0.46069692892905995,6.6742930692427835,5.471444744366152,0.5064271484412444,0.31660567486301194,0.2551605001957676,Transport,1
ett1/15T/long,mixed_all11,16.89752589944809,17.249971451835027,2.4038748399038163,1.5472941378562177,0.9817153571787197,0.5723121193477085,10.589188202356407,4.110660032093154,0.7834958254494888,0.45818089729221784,0.3610287593094617,Energy,7
m_dense/H/medium,mixed_all11,120845.99476128472,121061.24503309462,188.5776281568739,1.5027108930099415,0.9042755187027097,0.43344458209143744,11.537651689225992,347.62910516998534,0.6048307462058311,0.3281012603938194,0.2576159821975021,Transport,1
us_births/D/short,mixed_all11,328182.28041666665,321606.00416666665,407.20728352864586,0.5991992527011727,0.03861880381902059,0.03847997466723124,5.124532107545757,572.8719581343345,0.053702097487280116,0.03817237853429367,0.03108319584055569,Healthcare,1
saugeen/D/short,mixed_all11,1683.3954638671876,1325.7911058425902,14.874340311686199,3.3035128720496174,0.3832545606295268,0.40622931480407715,62.422134688403105,41.02920257410796,1.3289456275110987,0.481783419592995,0.43230527699292903,Nature,1
solar/H/medium,mixed_all11,1015.4057252164595,1136.0800740262887,20.578870698135265,1.5819486819892052,6.625262704749934,1.4759964861718988,11.063725345788068,31.86543150839887,1.147867216753117,0.7412989535686885,0.5797079173495118,Energy,1
sz_taxi/H/short,mixed_all11,11.260277582794172,8.948785686340088,2.1353180907730365,0.6507522037204622,1.4700254784244249,0.3277009959436125,6.706515508635465,3.3556337080787246,0.31259798899356317,0.19891805813912936,0.16013821831967867,Transport,1
m4_hourly/H/short,mixed_all11,2272293.9694743697,2914060.0672701285,329.8508965837591,1.3009812995388206,0.2341116336526742,0.16867426466481722,10.594793933754762,1507.4130056074114,0.20579517115377416,0.04503193316308668,0.03488595415347226,Econ/Fin,1
solar/D/short,mixed_all11,130067.92959055657,139764.26373745437,264.993119214283,1.0354893713933166,1.0749983804939438,0.4449562869802879,7.059936799367149,360.64931663675253,0.5210154430752614,0.3828248136080218,0.301798972220044,Energy,1
bizitobs_l2c/5T/medium,mixed_all11,142.70231815779292,135.9855937179254,7.923823739395661,0.7655797457424097,0.550222070854272,0.776268030753752,8.684500798591928,11.945807555698899,0.6285251659875378,0.41690966540673297,0.3454079565850763,Web/CloudOps,7
m_dense/D/short,mixed_all11,12574.418585611978,13110.395013518157,60.830619472927516,0.8828585649185041,0.15578389954266503,0.1280543456695698,8.225839941898164,112.13571503143848,0.1941235099619973,0.10530680044209488,0.08653659930737068,Transport,1
jena_weather/H/short,mixed_all11,1311.1368941820874,1382.3696264966904,10.650987855884761,0.6491272661438547,4.033258202551113,0.6441577658210488,7.306446050396528,36.20962433086109,0.22196268056201648,0.06528987413743338,0.05481499908736293,Nature,21
ett1/D/short,mixed_all11,57940.955078125,56306.503932601685,152.4430642748636,1.8648853400118766,1.460865713301159,0.49635064072079127,14.589904018622278,240.7092750147468,0.632230919044482,0.4003967799851064,0.3111487007789466,Energy,7
