dataset,model,MSE[mean],MSE[0.5],MAE[0.5],MASE[0.5],MAPE[0.5],sMAPE[0.5],MSIS,RMSE[mean],NRMSE[mean],ND[0.5],mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/medium,mixed_real_5050,189.73078860328312,201.79544852120534,9.517253657749722,0.9209236918748722,0.8223665985362039,0.9500809169950939,6.870449644946492,13.77427996678168,0.8340535941012992,0.576284178800132,0.4566465513753947,Web/CloudOps,7
solar/H/medium,mixed_real_5050,791.4349768868328,834.5789004880436,12.715484535607109,0.9695836315428134,5.3908870176776915,1.4176434834798177,9.232681864499753,28.132454156842286,1.013396659792221,0.45804143087494675,0.3726995767198832,Energy,1
sz_taxi/15T/long,mixed_real_5050,100.10429400582599,32.634573416424615,4.369411214192708,0.8408497164467943,8336876243146.21,0.5561846248784296,9.35793901460287,10.0052133413449,0.9260646682434105,0.4044248941468845,0.31415991480242744,Transport,1
ett2/H/medium,mixed_real_5050,456.7014005751837,524.9019816807338,14.628971572149368,1.628224429921971,0.2562855720734924,0.2756226965359279,12.550414083673315,21.370573239274226,0.28798219333243796,0.19713478306717305,0.15342269966750033,Energy,7
jena_weather/10T/medium,mixed_real_5050,9764.107369303218,2491.362108381902,13.209599731172514,0.7618685300050926,1.3195177692488975,0.742521022952344,11.829555184028651,98.81349791047384,0.6064167568100497,0.08106708898205552,0.07331442516729435,Nature,21
sz_taxi/H/short,mixed_real_5050,10.020882021158169,8.274783301939312,2.0305482656018348,0.6204314310954572,1.3107682395344362,0.3162638009963637,6.293446243383093,3.1655776757423233,0.2948930966623705,0.18915810234393132,0.1510168146912388,Transport,1
bizitobs_l2c/H/short,mixed_real_5050,161.77051350237832,183.538514970787,8.256734563244713,0.790890045637904,0.7573918082731234,0.8018613127725465,7.009327806988149,12.718903785404555,0.6855815437195084,0.4450591751820129,0.3630394837981224,Web/CloudOps,7
ett1/H/medium,mixed_real_5050,265.3791988281977,276.5881548926944,9.97601554507301,1.8362653217800395,8146321073373.666,0.6218028516996474,13.86229305177209,16.290463431965268,0.7802746183046313,0.4778275187898599,0.3765911769004592,Energy,7
ett2/D/short,mixed_real_5050,131616.39194568453,122852.14718501984,213.21965777684773,1.445457178904288,0.4471338014754038,0.1544495520137605,18.60621839536771,362.7897351713311,0.20763412525740307,0.12203122866547167,0.10209216123830253,Energy,7
electricity/H/long,mixed_real_5050,58736093.53934878,61356706.87968159,667.8136135963537,2.3077092539874915,0.521814643907849,0.2500032682390184,23.63602375662174,7663.947647221292,3.022658768002117,0.2633854988897357,0.21772420698972458,Energy,1
solar/10T/long,mixed_real_5050,89.38393180673913,93.58239956010384,4.874071315353901,2.1252481425909533,1.312635406077522,1.9384652187743647,24.96794708748496,9.454307579444363,2.043397354429234,1.0534525503219259,0.9320843204633174,Energy,1
